# CRaTER (GCR+SEP) dose rates for individual and combined detectors
#    from 2020-12-31 DOY:366
# through 2021-12-31 DOY:365
#
# Columns are separated by a tab character.
# All dose rate units: cGy / day
# All dose rates have a silicon to water correction applied and are altitude corrected to the lunar surface.
#
# column_titles: Julian Date,Year,DOY,Year Fraction,H2O Factor,Altitude Factor,Good Event Factor,D1&2 dose rate,D3&4 dose rate,D5&6 dose rate,D1 dose rate,D2 dose rate,D3 dose rate,D4 dose rate,D5 dose rate,D6 dose rate
# column_units: ,,,,,,,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day
# start_year: 2020
# start_doy: 366
# end_year: 2021
# end_doy: 365
#
# Julian Date	Year	DOY	Year Fraction	H2O	Alt.	GE	D1&2 dose rate	D3&4 dose rate	D5&6 dose rate	D1 dose rate	D2 dose rate	D3 dose rate	D4 dose rate	D5 dose rate	D6 dose rate
2459215.604166	2021	1	2021.0002854	1.333	0.746	1.000	3.0603e-02	2.9797e-02	3.0575e-02	1.5906e-02	2.7806e-02	1.5109e-02	2.6887e-02	1.5413e-02	2.7918e-02
2459215.645833	2021	1	2021.0003995	1.333	0.774	1.000	3.2754e-02	3.1178e-02	3.1354e-02	1.7511e-02	2.8756e-02	1.5900e-02	2.7112e-02	1.5770e-02	2.7869e-02
2459215.687500	2021	1	2021.0005137	1.333	0.745	1.000	3.1510e-02	3.0240e-02	3.0066e-02	1.6901e-02	2.7926e-02	1.5560e-02	2.6428e-02	1.4982e-02	2.7130e-02
2459215.729166	2021	1	2021.0006279	1.333	0.776	1.000	3.1088e-02	3.0242e-02	3.1384e-02	1.5890e-02	2.7840e-02	1.5077e-02	2.7415e-02	1.5887e-02	2.7981e-02
2459215.770833	2021	1	2021.0007420	1.333	0.743	1.000	3.1303e-02	3.0200e-02	3.3769e-02	1.6440e-02	2.8019e-02	1.5602e-02	2.6906e-02	1.8631e-02	2.8415e-02
2459215.812500	2021	1	2021.0008562	1.333	0.778	1.000	3.0638e-02	3.0534e-02	3.0936e-02	1.5664e-02	2.8529e-02	1.5391e-02	2.6925e-02	1.5358e-02	2.8321e-02
2459215.854166	2021	1	2021.0009703	1.333	0.742	1.000	3.1093e-02	3.0616e-02	2.9649e-02	1.6281e-02	2.7293e-02	1.5718e-02	2.6746e-02	1.4478e-02	2.7248e-02
2459215.895833	2021	1	2021.0010845	1.333	0.780	1.000	3.2597e-02	3.1760e-02	3.1108e-02	1.7547e-02	2.8540e-02	1.6384e-02	2.8180e-02	1.5524e-02	2.7418e-02
2459215.937500	2021	1	2021.0011986	1.333	0.741	1.000	3.2571e-02	3.0760e-02	3.0027e-02	1.7893e-02	2.7819e-02	1.5890e-02	2.6787e-02	1.4816e-02	2.7556e-02
2459215.979166	2021	1	2021.0013128	1.333	0.781	1.000	3.3725e-02	3.1879e-02	3.0585e-02	1.8489e-02	2.8531e-02	1.6901e-02	2.7459e-02	1.4994e-02	2.7667e-02
2459216.020833	2021	1	2021.0014269	1.333	0.741	1.000	3.2090e-02	2.9774e-02	3.0355e-02	1.7199e-02	2.8175e-02	1.5059e-02	2.6433e-02	1.5280e-02	2.7609e-02
2459216.062500	2021	1	2021.0015411	1.333	0.781	1.000	3.3248e-02	3.2440e-02	3.2127e-02	1.8069e-02	2.8480e-02	1.7175e-02	2.7851e-02	1.6657e-02	2.7654e-02
2459216.104166	2021	1	2021.0016553	1.333	0.741	1.000	3.1038e-02	2.9762e-02	3.2360e-02	1.6283e-02	2.7917e-02	1.5250e-02	2.6790e-02	1.7331e-02	2.7213e-02
