# CRaTER (GCR+SEP) dose rates for individual and combined detectors
#    from 2021-12-31 DOY:365
# through 2022-12-31 DOY:365
#
# Columns are separated by a tab character.
# All dose rate units: cGy / day
# All dose rates have a silicon to water correction applied and are altitude corrected to the lunar surface.
#
# column_titles: Julian Date,Year,DOY,Year Fraction,H2O Factor,Altitude Factor,Good Event Factor,D1&2 dose rate,D3&4 dose rate,D5&6 dose rate,D1 dose rate,D2 dose rate,D3 dose rate,D4 dose rate,D5 dose rate,D6 dose rate
# column_units: ,,,,,,,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day
# start_year: 2021
# start_doy: 365
# end_year: 2022
# end_doy: 365
#
# Julian Date	Year	DOY	Year Fraction	H2O	Alt.	GE	D1&2 dose rate	D3&4 dose rate	D5&6 dose rate	D1 dose rate	D2 dose rate	D3 dose rate	D4 dose rate	D5 dose rate	D6 dose rate
2459579.520833	2021	365	2021.9973174	1.333	0.758	1.000	3.0911e-02	2.9738e-02	2.9797e-02	1.6537e-02	2.7027e-02	1.5265e-02	2.5632e-02	1.5122e-02	2.6516e-02
2459579.562500	2021	365	2021.9974315	1.333	0.764	1.000	3.2076e-02	3.1050e-02	3.0231e-02	1.7623e-02	2.7265e-02	1.6210e-02	2.6807e-02	1.5140e-02	2.7349e-02
2459579.604166	2021	365	2021.9975457	1.333	0.755	1.000	3.0405e-02	3.0524e-02	2.8201e-02	1.5887e-02	2.6839e-02	1.6003e-02	2.6582e-02	1.3655e-02	2.6452e-02
2459579.645833	2021	365	2021.9976598	1.333	0.767	1.000	3.0774e-02	2.9981e-02	2.8949e-02	1.6049e-02	2.7428e-02	1.5428e-02	2.6419e-02	1.4209e-02	2.6810e-02
2459579.687500	2021	365	2021.9977740	1.333	0.753	1.000	3.0227e-02	2.8326e-02	2.8946e-02	1.5975e-02	2.7098e-02	1.4000e-02	2.6092e-02	1.4225e-02	2.6890e-02
2459579.729166	2021	365	2021.9978881	1.333	0.769	1.000	3.1571e-02	3.0710e-02	3.1584e-02	1.6835e-02	2.7542e-02	1.5969e-02	2.6934e-02	1.6680e-02	2.7471e-02
2459579.770833	2021	365	2021.9980023	1.333	0.751	1.000	3.0233e-02	2.9165e-02	3.0147e-02	1.5914e-02	2.7004e-02	1.4906e-02	2.6414e-02	1.5463e-02	2.7078e-02
2459579.812500	2021	365	2021.9981164	1.333	0.771	1.000	2.9067e-02	3.0285e-02	2.9874e-02	1.4454e-02	2.7511e-02	1.5487e-02	2.7000e-02	1.4934e-02	2.7418e-02
2459579.854166	2021	365	2021.9982306	1.333	0.749	1.000	3.2394e-02	3.0849e-02	2.8526e-02	1.7972e-02	2.6933e-02	1.6516e-02	2.6367e-02	1.3955e-02	2.6176e-02
2459579.895833	2021	365	2021.9983447	1.333	0.773	1.000	3.1548e-02	2.9375e-02	3.1486e-02	1.6660e-02	2.7774e-02	1.4702e-02	2.6812e-02	1.6315e-02	2.7524e-02
2459579.937500	2021	365	2021.9984589	1.333	0.748	1.000	3.0770e-02	2.9249e-02	2.9494e-02	1.6484e-02	2.6874e-02	1.4718e-02	2.6446e-02	1.4623e-02	2.6740e-02
2459579.979166	2021	365	2021.9985731	1.333	0.774	1.000	3.0938e-02	3.0272e-02	3.1414e-02	1.6117e-02	2.7725e-02	1.5536e-02	2.6788e-02	1.5937e-02	2.7676e-02
2459580.020833	2021	365	2021.9986872	1.333	0.747	1.000	3.1111e-02	2.9806e-02	3.0137e-02	1.6811e-02	2.7136e-02	1.5657e-02	2.5764e-02	1.5540e-02	2.6778e-02
2459580.062500	2021	365	2021.9988014	1.333	0.775	1.000	3.1511e-02	3.0741e-02	2.9804e-02	1.6688e-02	2.7853e-02	1.6099e-02	2.6553e-02	1.4703e-02	2.7247e-02
2459580.104166	2021	365	2021.9989155	1.333	0.747	1.000	3.2217e-02	2.8905e-02	3.0764e-02	1.7978e-02	2.7195e-02	1.4350e-02	2.5611e-02	1.5920e-02	2.6683e-02
2459580.145833	2021	365	2021.9990297	1.333	0.775	1.000	3.0153e-02	2.8883e-02	3.0891e-02	1.5618e-02	2.7549e-02	1.4268e-02	2.5956e-02	1.5714e-02	2.7516e-02
2459580.187500	2021	365	2021.9991438	1.333	0.747	1.000	3.0186e-02	3.0463e-02	2.9156e-02	1.5878e-02	2.6873e-02	1.6187e-02	2.5882e-02	1.4340e-02	2.6698e-02
2459580.229166	2021	365	2021.9992580	1.333	0.775	1.000	3.3419e-02	2.9802e-02	3.0303e-02	1.8369e-02	2.8044e-02	1.4902e-02	2.6710e-02	1.5294e-02	2.6850e-02
2459580.270833	2021	365	2021.9993721	1.333	0.747	1.000	2.9955e-02	3.0322e-02	2.9478e-02	1.5387e-02	2.7468e-02	1.6023e-02	2.5931e-02	1.4532e-02	2.6385e-02
2459580.312500	2021	365	2021.9994863	1.333	0.775	1.000	3.2186e-02	2.8336e-02	3.1579e-02	1.7440e-02	2.7426e-02	1.3518e-02	2.6360e-02	1.6499e-02	2.7266e-02
2459580.354166	2021	365	2021.9996005	1.333	0.747	1.000	3.1952e-02	2.9147e-02	2.9438e-02	1.7541e-02	2.6974e-02	1.4649e-02	2.5841e-02	1.4602e-02	2.6076e-02
2459580.395833	2021	365	2021.9997146	1.333	0.775	1.000	3.0502e-02	2.9911e-02	2.9973e-02	1.5791e-02	2.7270e-02	1.5237e-02	2.6335e-02	1.4877e-02	2.7158e-02
2459580.437500	2021	365	2021.9998288	1.333	0.748	1.000	3.0624e-02	2.8456e-02	2.9480e-02	1.6230e-02	2.7221e-02	1.3992e-02	2.5851e-02	1.4640e-02	2.6874e-02
2459580.479166	2021	365	2021.9999429	1.333	0.774	1.000	3.2535e-02	2.9381e-02	2.9744e-02	1.7896e-02	2.7308e-02	1.4566e-02	2.6906e-02	1.4521e-02	2.7106e-02
2459580.520833	2022	1	2022.0000571	1.333	0.749	1.000	2.9630e-02	3.0666e-02	3.0530e-02	1.5210e-02	2.7124e-02	1.6208e-02	2.6615e-02	1.5714e-02	2.6843e-02
2459580.562500	2022	1	2022.0001712	1.333	0.772	1.000	3.0658e-02	3.0185e-02	3.0155e-02	1.5966e-02	2.7070e-02	1.5393e-02	2.7050e-02	1.5058e-02	2.6907e-02
2459580.604166	2022	1	2022.0002854	1.333	0.750	1.000	3.0847e-02	2.8125e-02	2.9092e-02	1.6565e-02	2.7390e-02	1.3527e-02	2.5859e-02	1.4565e-02	2.6852e-02
2459580.645833	2022	1	2022.0003995	1.333	0.771	1.000	3.1176e-02	2.9766e-02	3.0184e-02	1.6594e-02	2.7269e-02	1.5058e-02	2.6759e-02	1.5140e-02	2.7338e-02
2459580.687500	2022	1	2022.0005137	1.333	0.751	1.000	2.9857e-02	2.8752e-02	3.0395e-02	1.5330e-02	2.6974e-02	1.4378e-02	2.6013e-02	1.5572e-02	2.6685e-02
2459580.729166	2022	1	2022.0006279	1.333	0.769	1.000	3.1638e-02	3.0074e-02	2.9876e-02	1.7099e-02	2.7329e-02	1.5555e-02	2.6236e-02	1.4877e-02	2.6792e-02
2459580.770833	2022	1	2022.0007420	1.333	0.753	1.000	2.9817e-02	2.8725e-02	2.8921e-02	1.5322e-02	2.6283e-02	1.4496e-02	2.5599e-02	1.4511e-02	2.5871e-02
2459580.812500	2022	1	2022.0008562	1.333	0.767	1.000	3.1670e-02	2.9250e-02	3.0869e-02	1.7144e-02	2.7111e-02	1.4858e-02	2.6142e-02	1.5821e-02	2.6990e-02
2459580.854166	2022	1	2022.0009703	1.333	0.754	1.000	2.9239e-02	3.0033e-02	2.9538e-02	1.5008e-02	2.6520e-02	1.5500e-02	2.6861e-02	1.4832e-02	2.6487e-02
2459580.895833	2022	1	2022.0010845	1.333	0.765	1.000	2.9445e-02	2.9221e-02	2.9157e-02	1.5126e-02	2.6514e-02	1.4896e-02	2.5602e-02	1.4548e-02	2.6342e-02
2459580.937500	2022	1	2022.0011986	1.333	0.756	1.000	2.9934e-02	3.0229e-02	2.9229e-02	1.5768e-02	2.6738e-02	1.5927e-02	2.6219e-02	1.4360e-02	2.6240e-02
2459580.979166	2022	1	2022.0013128	1.333	0.764	1.000	3.0213e-02	3.0246e-02	3.0194e-02	1.5935e-02	2.6598e-02	1.5880e-02	2.5685e-02	1.5479e-02	2.6275e-02
2459581.020833	2022	1	2022.0014269	1.333	0.757	1.000	3.0001e-02	2.9618e-02	2.9472e-02	1.5976e-02	2.6345e-02	1.5461e-02	2.5889e-02	1.4942e-02	2.5659e-02
2459581.062500	2022	1	2022.0015411	1.333	0.762	1.000	2.9235e-02	2.8595e-02	2.9532e-02	1.5232e-02	2.6286e-02	1.4463e-02	2.5810e-02	1.4753e-02	2.6129e-02
2459581.104166	2022	1	2022.0016553	1.333	0.758	1.000	2.9996e-02	2.7751e-02	2.7664e-02	1.5718e-02	2.7201e-02	1.3623e-02	2.5974e-02	1.3183e-02	2.5666e-02
2459581.145833	2022	1	2022.0017694	1.333	0.761	1.000	3.0299e-02	2.9111e-02	2.9865e-02	1.6115e-02	2.6631e-02	1.4944e-02	2.5589e-02	1.5453e-02	2.6221e-02
2459581.187500	2022	1	2022.0018836	1.333	0.760	1.000	2.9549e-02	2.9333e-02	2.8849e-02	1.5568e-02	2.6481e-02	1.5108e-02	2.5808e-02	1.4165e-02	2.6460e-02
2459581.229166	2022	1	2022.0019977	1.333	0.760	1.000	2.9932e-02	3.0189e-02	2.9144e-02	1.5686e-02	2.6828e-02	1.5814e-02	2.6169e-02	1.4595e-02	2.5590e-02
2459581.270833	2022	1	2022.0021119	1.333	0.761	1.000	2.9897e-02	3.0386e-02	2.9690e-02	1.5520e-02	2.6724e-02	1.6074e-02	2.5465e-02	1.4954e-02	2.6294e-02
2459581.312500	2022	1	2022.0022260	1.333	0.759	1.000	3.2626e-02	2.9499e-02	2.9674e-02	1.8544e-02	2.6646e-02	1.5362e-02	2.5874e-02	1.5141e-02	2.6754e-02
2459581.354166	2022	1	2022.0023402	1.333	0.762	1.000	3.0589e-02	2.9881e-02	2.9163e-02	1.6299e-02	2.6734e-02	1.5335e-02	2.6090e-02	1.4403e-02	2.6495e-02
2459581.395833	2022	1	2022.0024543	1.333	0.758	1.000	2.9223e-02	2.9129e-02	2.9127e-02	1.5128e-02	2.6514e-02	1.4922e-02	2.5671e-02	1.4584e-02	2.6184e-02
2459581.437500	2022	1	2022.0025685	1.333	0.763	1.000	3.2348e-02	2.9609e-02	3.0808e-02	1.7983e-02	2.7051e-02	1.5330e-02	2.5465e-02	1.6177e-02	2.6813e-02
2459581.479166	2022	1	2022.0026826	1.333	0.757	1.000	2.9506e-02	2.9871e-02	3.0034e-02	1.5157e-02	2.7019e-02	1.5794e-02	2.5243e-02	1.5396e-02	2.6255e-02
2459581.520833	2022	2	2022.0027968	1.333	0.763	1.000	3.1661e-02	2.9253e-02	2.8731e-02	1.7387e-02	2.6886e-02	1.4944e-02	2.6329e-02	1.4081e-02	2.6062e-02
2459581.562500	2022	2	2022.0029110	1.333	0.756	1.000	3.0931e-02	2.9198e-02	2.8394e-02	1.6693e-02	2.6627e-02	1.5064e-02	2.6066e-02	1.3799e-02	2.6144e-02
2459581.604166	2022	2	2022.0030251	1.333	0.764	1.000	3.0466e-02	3.0479e-02	2.9766e-02	1.6047e-02	2.7207e-02	1.6171e-02	2.6076e-02	1.5081e-02	2.6434e-02
2459581.645833	2022	2	2022.0031393	1.333	0.756	1.000	3.0139e-02	2.8865e-02	2.9877e-02	1.6088e-02	2.6308e-02	1.4784e-02	2.5753e-02	1.5379e-02	2.6034e-02
2459581.687500	2022	2	2022.0032534	1.333	0.765	1.000	2.9915e-02	2.8809e-02	2.9132e-02	1.5409e-02	2.6811e-02	1.4799e-02	2.6083e-02	1.4375e-02	2.6398e-02
2459581.729166	2022	2	2022.0033676	1.333	0.756	1.000	2.9711e-02	2.8918e-02	2.8609e-02	1.5647e-02	2.6247e-02	1.5108e-02	2.5556e-02	1.4154e-02	2.6257e-02
2459581.770833	2022	2	2022.0034817	1.333	0.765	1.000	3.0117e-02	3.0775e-02	2.9666e-02	1.5902e-02	2.6546e-02	1.6399e-02	2.6296e-02	1.4828e-02	2.6468e-02
2459581.812500	2022	2	2022.0035959	1.333	0.755	1.000	3.0045e-02	2.8833e-02	2.9224e-02	1.5867e-02	2.6694e-02	1.4613e-02	2.5632e-02	1.4631e-02	2.6141e-02
2459581.854166	2022	2	2022.0037100	1.333	0.765	1.000	3.1351e-02	3.0958e-02	2.8477e-02	1.6949e-02	2.6867e-02	1.6770e-02	2.6138e-02	1.3868e-02	2.6218e-02
2459581.895833	2022	2	2022.0038242	1.333	0.755	1.000	2.9890e-02	2.8135e-02	2.9632e-02	1.5793e-02	2.6042e-02	1.4192e-02	2.5515e-02	1.5186e-02	2.6533e-02
2459581.937500	2022	2	2022.0039384	1.333	0.765	1.000	2.9896e-02	2.8944e-02	3.0147e-02	1.5528e-02	2.6572e-02	1.4731e-02	2.5781e-02	1.5405e-02	2.6139e-02
2459581.979166	2022	2	2022.0040525	1.333	0.755	1.000	2.8994e-02	2.8150e-02	3.0222e-02	1.4868e-02	2.6341e-02	1.4034e-02	2.5139e-02	1.5860e-02	2.6066e-02
2459582.020833	2022	2	2022.0041667	1.333	0.766	1.000	2.9198e-02	2.7984e-02	2.9906e-02	1.4945e-02	2.6398e-02	1.3906e-02	2.5667e-02	1.5322e-02	2.6476e-02
2459582.062500	2022	2	2022.0042808	1.333	0.755	1.000	3.0070e-02	2.8722e-02	2.8778e-02	1.5947e-02	2.7365e-02	1.4720e-02	2.5600e-02	1.4155e-02	2.6281e-02
2459582.104166	2022	2	2022.0043950	1.333	0.766	1.000	2.9952e-02	2.9864e-02	2.9442e-02	1.5591e-02	2.7373e-02	1.5571e-02	2.5728e-02	1.4845e-02	2.6013e-02
2459582.145833	2022	2	2022.0045091	1.333	0.754	1.000	3.0773e-02	2.9250e-02	2.9936e-02	1.6610e-02	2.6564e-02	1.5194e-02	2.5408e-02	1.5496e-02	2.6347e-02
2459582.187500	2022	2	2022.0046233	1.333	0.766	1.000	3.0730e-02	2.9100e-02	3.0172e-02	1.6515e-02	2.6844e-02	1.4836e-02	2.5730e-02	1.5787e-02	2.5962e-02
2459582.229166	2022	2	2022.0047374	1.333	0.754	1.000	2.8512e-02	2.8634e-02	2.9183e-02	1.4516e-02	2.6360e-02	1.4317e-02	2.5861e-02	1.4968e-02	2.6237e-02
2459582.270833	2022	2	2022.0048516	1.333	0.767	1.000	2.9956e-02	2.8980e-02	2.9346e-02	1.5545e-02	2.6753e-02	1.4812e-02	2.5852e-02	1.4856e-02	2.5864e-02
2459582.312500	2022	2	2022.0049658	1.333	0.754	1.000	3.0772e-02	2.9573e-02	2.9443e-02	1.6455e-02	2.6803e-02	1.5081e-02	2.6159e-02	1.5001e-02	2.6239e-02
2459582.354166	2022	2	2022.0050799	1.333	0.767	1.000	3.1081e-02	3.0155e-02	2.9795e-02	1.6768e-02	2.7190e-02	1.5714e-02	2.5771e-02	1.4931e-02	2.7381e-02
2459582.395833	2022	2	2022.0051941	1.333	0.753	1.000	2.9144e-02	2.8745e-02	2.8651e-02	1.4972e-02	2.5911e-02	1.4682e-02	2.5383e-02	1.4160e-02	2.6595e-02
2459582.437500	2022	2	2022.0053082	1.333	0.767	1.000	2.8541e-02	2.9806e-02	2.8514e-02	1.4604e-02	2.6190e-02	1.5584e-02	2.5849e-02	1.3898e-02	2.7009e-02
2459582.479166	2022	2	2022.0054224	1.333	0.753	1.000	2.9910e-02	2.9011e-02	2.9564e-02	1.5722e-02	2.6552e-02	1.4942e-02	2.5471e-02	1.5046e-02	2.6169e-02
2459582.520833	2022	3	2022.0055365	1.333	0.768	1.000	2.8644e-02	2.7838e-02	3.1106e-02	1.4432e-02	2.6276e-02	1.3595e-02	2.5551e-02	1.6257e-02	2.6953e-02
2459582.562500	2022	3	2022.0056507	1.333	0.753	1.000	3.0842e-02	2.9251e-02	2.9839e-02	1.6628e-02	2.6467e-02	1.5364e-02	2.5526e-02	1.5217e-02	2.6402e-02
2459582.604166	2022	3	2022.0057648	1.333	0.768	1.000	2.9534e-02	2.9742e-02	2.8958e-02	1.5487e-02	2.6742e-02	1.5329e-02	2.6026e-02	1.4298e-02	2.6765e-02
2459582.645833	2022	3	2022.0058790	1.333	0.753	1.000	3.0548e-02	2.8766e-02	2.9543e-02	1.6599e-02	2.5907e-02	1.4816e-02	2.5432e-02	1.5022e-02	2.6211e-02
