cobalto-a;;
Long. Onda (nm);Abs;
2206;0,7674207687;
2205;0,766664207;
2204;0,7664638162;
2203;0,7663157582;
2202;0,7661576271;
2201;0,7658902407;
2200;0,7648920417;
2199;0,7655461431;
2198;0,7649439573;
2197;0,7653025389;
2196;0,7654598951;
2195;0,7656472921;
2194;0,765119493;
2193;0,7659907937;
2192;0,7660265565;
2191;0,7660901546;
2190;0,7666612267;
2189;0,7685825229;
2188;0,7679874301;
2187;0,7686742544;
2186;0,7704855204;
2185;0,7720533013;
2184;0,7723755836;
2183;0,7731488347;
2182;0,7727214098;
2181;0,7730355859;
2180;0,7741518617;
2179;0,7737380266;
2178;0,7746752501;
2177;0,7742516398;
2176;0,7746741772;
2175;0,7747573256;
2174;0,7739699483;
2173;0,7745027542;
2172;0,7729946971;
2171;0,7722623348;
2170;0,7705861926;
2169;0,7693688273;
2168;0,7695770264;
2167;0,7671316862;
2166;0,7670828104;
2165;0,7655823231;
2164;0,7648329735;
2163;0,764290452;
2162;0,764149785;
2161;0,7637714744;
2160;0,7644757032;
2159;0,7625662088;
2158;0,7628267407;
2157;0,7624155879;
2156;0,7617553473;
2155;0,7625409961;
2154;0,762116611;
2153;0,7614293694;
2152;0,7601332664;
2151;0,7609280944;
2150;0,7610644698;
2149;0,7600424886;
2148;0,7598726749;
2147;0,7611959577;
2146;0,760796845;
2145;0,7581458092;
2144;0,7598875165;
2143;0,7598133683;
2142;0,7593026161;
2141;0,7597997785;
2140;0,7595111728;
2139;0,75879848;
2138;0,7594577074;
2137;0,7586424947;
2136;0,7585998178;
2135;0,757992506;
2134;0,7581307888;
2133;0,7576488256;
2132;0,758678019;
2131;0,7572163939;
2130;0,7584968805;
2129;0,7580096126;
2128;0,7584298253;
2127;0,7570843101;
2126;0,7581309676;
2125;0,7580446601;
2124;0,7572777867;
2123;0,7579100728;
2122;0,7584241629;
2121;0,7579516768;
2120;0,7577443123;
2119;0,7573723793;
2118;0,7573574781;
2117;0,7587488294;
2116;0,7592393756;
2115;0,7581792474;
2114;0,7586925626;
2113;0,7582561374;
2112;0,7594934106;
2111;0,7586300373;
2110;0,7605310082;
2109;0,7592929006;
2108;0,759270072;
2107;0,7596235275;
2106;0,7592924833;
2105;0,7603503466;
2104;0,7598602772;
2103;0,7603743672;
2102;0,7600336075;
2101;0,7602604628;
2100;0,7604351044;
2099;0,7605776191;
2098;0,7611889243;
2097;0,7603846788;
2096;0,7607902884;
2095;0,7604994178;
2094;0,7615978122;
2093;0,7609114051;
2092;0,7611145377;
2091;0,7617034912;
2090;0,7609696984;
2089;0,761349082;
2088;0,7614386082;
2087;0,761384964;
2086;0,7616866231;
2085;0,7614151239;
2084;0,7618110776;
2083;0,7611016035;
2082;0,7613997459;
2081;0,7612198591;
2080;0,7619078159;
2079;0,7631141543;
2078;0,7617323399;
2077;0,7628830075;
2076;0,7619969249;
2075;0,7623121738;
2074;0,7627224326;
2073;0,7623406649;
2072;0,7632897496;
2071;0,7622205615;
2070;0,7624498606;
2069;0,762855947;
2068;0,7639915943;
2067;0,7629495859;
2066;0,7630723119;
2065;0,7633831501;
2064;0,7632815838;
2063;0,7635344267;
2062;0,7634756565;
2061;0,7640011907;
2060;0,76308465;
2059;0,7633637786;
2058;0,7639803886;
2057;0,7635726333;
2056;0,7636554241;
2055;0,763915062;
2054;0,7637544274;
2053;0,7634761333;
2052;0,7638702393;
2051;0,7638090849;
2050;0,7635497451;
2049;0,7640519738;
2048;0,7646315098;
2047;0,7636804581;
2046;0,7643347383;
2045;0,7639157772;
2044;0,7646111846;
2043;0,7647359967;
2042;0,7640334964;
2041;0,7649358511;
2040;0,7649147511;
2039;0,7649125457;
2038;0,7643170953;
2037;0,7644401789;
2036;0,7642451525;
2035;0,7649081349;
2034;0,764811039;
2033;0,7655149698;
2032;0,7653665543;
2031;0,7651858926;
2030;0,7649313807;
2029;0,7656014562;
2028;0,7650682926;
2027;0,7661280632;
2026;0,7657456398;
2025;0,7654958963;
2024;0,7659611702;
2023;0,7661219835;
2022;0,7656655312;
2021;0,7665247321;
2020;0,766151607;
2019;0,7658060193;
2018;0,7662492394;
2017;0,7663709521;
2016;0,76698035;
2015;0,7668044567;
2014;0,7671322227;
2013;0,7672940493;
2012;0,7673880458;
2011;0,7670004964;
2010;0,767541647;
2009;0,7674182653;
2008;0,7678286433;
2007;0,7675748467;
2006;0,7683433294;
2005;0,7673310041;
2004;0,7682144642;
2003;0,7674683928;
2002;0,7685701847;
2001;0,7684764862;
2000;0,7675963044;
1999;0,7671542764;
1998;0,7680334449;
1997;0,7682235837;
1996;0,767359674;
1995;0,7676318884;
1994;0,7683579922;
1993;0,7676537037;
1992;0,7680202127;
1991;0,7678830624;
1990;0,7680902481;
1989;0,7684838176;
1988;0,7687491775;
1987;0,7688916326;
1986;0,7688143849;
1985;0,7680978179;
1984;0,7691657543;
1983;0,7689762115;
1982;0,7696279287;
1981;0,7689882517;
1980;0,7690531611;
1979;0,7694707513;
1978;0,7699779272;
1977;0,7700861692;
1976;0,7696380019;
1975;0,7705665231;
1974;0,770083487;
1973;0,7699447274;
1972;0,7705116868;
1971;0,7700631022;
1970;0,7703996897;
1969;0,7710241079;
1968;0,7698971629;
1967;0,7702260613;
1966;0,7712088227;
1965;0,7713648677;
1964;0,7704806328;
1963;0,7704197168;
1962;0,7706363797;
1961;0,7713961601;
1960;0,7714783549;
1959;0,7712097764;
1958;0,7711458206;
1957;0,7718049288;
1956;0,7715622783;
1955;0,7714032531;
1954;0,7717176676;
1953;0,7713149786;
1952;0,7711493969;
1951;0,7723225355;
1950;0,7720444798;
1949;0,7723627687;
1948;0,7720775604;
1947;0,7726235986;
1946;0,7721347213;
1945;0,7724478245;
1944;0,7728050947;
1943;0,7725499272;
1942;0,7728354931;
1941;0,7735698819;
1940;0,7734897733;
1939;0,7734156847;
1938;0,7732867002;
1937;0,7735615373;
1936;0,7736216784;
1935;0,7732897997;
1934;0,7739603519;
1933;0,7742955685;
1932;0,7741559744;
1931;0,7740013599;
1930;0,7740156651;
1929;0,7748028636;
1928;0,7745035887;
1927;0,7744817734;
1926;0,7751216292;
1925;0,7751886845;
1924;0,7751195431;
1923;0,7749910355;
1922;0,774356246;
1921;0,7748431563;
1920;0,7740446925;
1919;0,7748040557;
1918;0,7752950788;
1917;0,7755730152;
1916;0,7751966715;
1915;0,7752043605;
1914;0,7757422924;
1913;0,7754009962;
1912;0,7755701542;
1911;0,7760435343;
1910;0,7752094269;
1909;0,7761532664;
1908;0,7760332227;
1907;0,7751627564;
1906;0,7754901648;
1905;0,7753425837;
1904;0,7753949165;
1903;0,7755049467;
1902;0,7753269076;
1901;0,7751383781;
1900;0,7752729058;
1899;0,7742863894;
1898;0,7749140263;
1897;0,7745531201;
1896;0,7744085193;
1895;0,7748140693;
1894;0,7749860287;
1893;0,7749115825;
1892;0,775200367;
1891;0,7747213244;
1890;0,7750495672;
1889;0,774476707;
1888;0,7751389742;
1887;0,7754238248;
1886;0,7760699391;
1885;0,7768073678;
1884;0,7776166797;
1883;0,7777733207;
1882;0,7787777185;
1881;0,7797721624;
1880;0,7803470492;
1879;0,7808589935;
1878;0,7813361287;
1877;0,7813953757;
1876;0,7808395028;
1875;0,7811492085;
1874;0,7810635567;
1873;0,7812021971;
1872;0,7810531855;
1871;0,78080827;
1870;0,780449748;
1869;0,7803952694;
1868;0,7802919149;
1867;0,7798735499;
1866;0,7802394629;
1865;0,7797544599;
1864;0,7802376747;
1863;0,7797234654;
1862;0,7805740237;
1861;0,7799562216;
1860;0,7796445489;
1859;0,7795770764;
1858;0,7792254686;
1857;0,7800287604;
1856;0,7803477645;
1855;0,7804092765;
1854;0,7805838585;
1853;0,7811953425;
1852;0,7818700671;
1851;0,7821999788;
1850;0,7832478285;
1849;0,7831288576;
1848;0,7834348083;
1847;0,7834289074;
1846;0,7837173343;
1845;0,7843976021;
1844;0,7845048308;
1843;0,7845087647;
1842;0,7845052481;
1841;0,7843404412;
1840;0,7841621637;
1839;0,7842000723;
1838;0,7849220634;
1837;0,7844573855;
1836;0,7840531468;
1835;0,7842385769;
1834;0,7848006487;
1833;0,7849726677;
1832;0,7848360538;
1831;0,7850340009;
1830;0,7849782109;
1829;0,7850905061;
1828;0,7850261927;
1827;0,7855159044;
1826;0,7856833935;
1825;0,786151588;
1824;0,7856305838;
1823;0,7856017351;
1822;0,7861943841;
1821;0,7864079475;
1820;0,7865379453;
1819;0,7866180539;
1818;0,7868736386;
1817;0,7874524593;
1816;0,7876460552;
1815;0,7878564596;
1814;0,7879651785;
1813;0,788164854;
1812;0,7882365584;
1811;0,7887887955;
1810;0,7885850668;
1809;0,7890945077;
1808;0,7893176675;
1807;0,7894604802;
1806;0,7897548676;
1805;0,7902562022;
1804;0,7900545001;
1803;0,7908684611;
1802;0,7908027768;
1801;0,7906073332;
1800;0,7914526463;
1799;0,7916896939;
1798;0,7915640473;
1797;0,7924185991;
1796;0,7924022079;
1795;0,7926036716;
1794;0,7929080129;
1793;0,7931206822;
1792;0,7933054566;
1791;0,7938076854;
1790;0,7938961387;
1789;0,7938176394;
1788;0,7945436835;
1787;0,7949556708;
1786;0,7950720191;
1785;0,7948333025;
1784;0,7954424024;
1783;0,7953833342;
1782;0,7958943248;
1781;0,7963902354;
1780;0,7962242961;
1779;0,796810925;
1778;0,7972553372;
1777;0,7971854806;
1776;0,7970849276;
1775;0,7974853516;
1774;0,7980219722;
1773;0,7979251146;
1772;0,7982663512;
1771;0,7985594273;
1770;0,7985348701;
1769;0,7988889217;
1768;0,7990912199;
1767;0,7990127206;
1766;0,7996318936;
1765;0,7995041013;
1764;0,7997814417;
1763;0,7997988462;
1762;0,8000017405;
1761;0,8003457189;
1760;0,8006916046;
1759;0,8005912304;
1758;0,8010491133;
1757;0,8009839654;
1756;0,8008621931;
1755;0,8011531234;
1754;0,8010707498;
1753;0,8011121154;
1752;0,8013869524;
1751;0,8012646437;
1750;0,8020468354;
1749;0,8018011451;
1748;0,802428484;
1747;0,8024753928;
1746;0,8027482033;
1745;0,8025178909;
1744;0,8030840755;
1743;0,8033538461;
1742;0,8034299016;
1741;0,8033612967;
1740;0,8035912514;
1739;0,8037515283;
1738;0,8038011789;
1737;0,8041911721;
1736;0,8039924502;
1735;0,8044953346;
1734;0,8043553233;
1733;0,8045192957;
1732;0,8045830727;
1731;0,8044868708;
1730;0,8047834039;
1729;0,8051928282;
1728;0,8048194647;
1727;0,805575192;
1726;0,8051168919;
1725;0,8052315712;
1724;0,8051708341;
1723;0,8054087162;
1722;0,8054088354;
1721;0,8054278493;
1720;0,8054712415;
1719;0,8057807684;
1718;0,8056066632;
1717;0,805860281;
1716;0,8057505488;
1715;0,8058764338;
1714;0,8061766028;
1713;0,8060790896;
1712;0,806114912;
1711;0,8067833185;
1710;0,8064572215;
1709;0,8064197898;
1708;0,8062801957;
1707;0,8069685102;
1706;0,8066955805;
1705;0,8071728349;
1704;0,8070465922;
1703;0,8071494102;
1702;0,8070870638;
1701;0,807226181;
1700;0,8075563312;
1699;0,8073631525;
1698;0,8075569868;
1697;0,8078131676;
1696;0,8079988956;
1695;0,8079728484;
1694;0,8080871105;
1693;0,8078837991;
1692;0,8079239726;
1691;0,8081998825;
1690;0,8080428839;
1689;0,8080997467;
1688;0,8081396818;
1687;0,8085100055;
1686;0,80849123;
1685;0,8084688187;
1684;0,8086894751;
1683;0,8086895347;
1682;0,8086936474;
1681;0,8087413311;
1680;0,8089578748;
1679;0,8086301684;
1678;0,8091729283;
1677;0,8091068864;
1676;0,809128046;
1675;0,8093613982;
1674;0,8094403744;
1673;0,8093452454;
1672;0,8094194531;
1671;0,8095949292;
1670;0,8094935417;
1669;0,8095542192;
1668;0,8096838593;
1667;0,8096971512;
1666;0,8096215725;
1665;0,8096945882;
1664;0,8097535968;
1663;0,809699893;
1662;0,809432745;
1661;0,8099753857;
1660;0,8097807169;
1659;0,8098503947;
1658;0,8097292185;
1657;0,8100270629;
1656;0,8099707961;
1655;0,8099113703;
1654;0,8101986051;
1653;0,810306251;
1652;0,8101586699;
1651;0,8102222085;
1650;0,8103923798;
1649;0,8106425405;
1648;0,8105937243;
1647;0,8104803562;
1646;0,8105561137;
1645;0,8109819889;
1644;0,8108739853;
1643;0,810967505;
1642;0,8109688163;
1641;0,8110595345;
1640;0,8111158013;
1639;0,811291635;
1638;0,8114269376;
1637;0,8115470409;
1636;0,8117829561;
1635;0,8117384911;
1634;0,8117672801;
1633;0,812045157;
1632;0,8118599653;
1631;0,8121083975;
1630;0,8120439053;
1629;0,8122931719;
1628;0,8123022914;
1627;0,8122056127;
1626;0,8120936155;
1625;0,8116133809;
1624;0,8112001419;
1623;0,8110950589;
1622;0,8105394244;
1621;0,8101907372;
1620;0,8097168803;
1619;0,8094594479;
1618;0,8093823195;
1617;0,8088304996;
1616;0,8086867929;
1615;0,8082619905;
1614;0,807860136;
1613;0,8076164126;
1612;0,8073683977;
1611;0,8071061373;
1610;0,8066453934;
1609;0,8062247634;
1608;0,8061320186;
1607;0,8058524132;
1606;0,8053649664;
1605;0,8052079082;
1604;0,804834187;
1603;0,8046582937;
1602;0,804232657;
1601;0,8039011359;
1600;0,803534925;
1599;0,8031764627;
1598;0,8030184507;
1597;0,8026325107;
1596;0,802256763;
1595;0,8018341064;
1594;0,8018822074;
1593;0,8015339971;
1592;0,801071763;
1591;0,8011211753;
1590;0,8007112145;
1589;0,8002752066;
1588;0,8002150655;
1587;0,7997143269;
1586;0,7996403575;
1585;0,799364388;
1584;0,7992807031;
1583;0,798905313;
1582;0,7988417745;
1581;0,7984458804;
1580;0,7981129885;
1579;0,7978208065;
1578;0,7975473404;
1577;0,7973359823;
1576;0,7971054316;
1575;0,7970206141;
1574;0,796800673;
1573;0,796453476;
1572;0,7958737016;
1571;0,7960674763;
1570;0,7956495881;
1569;0,7955470085;
1568;0,7953996062;
1567;0,7949997187;
1566;0,7948944569;
1565;0,7946766019;
1564;0,7942346334;
1563;0,7942897677;
1562;0,7939624786;
1561;0,7936291695;
1560;0,7936202288;
1559;0,793441534;
1558;0,7932423353;
1557;0,7927903533;
1556;0,7926623225;
1555;0,792576611;
1554;0,792299211;
1553;0,7921311259;
1552;0,7920495272;
1551;0,7918902636;
1550;0,7917999625;
1549;0,7914834619;
1548;0,7914088964;
1547;0,7910894752;
1546;0,79100734;
1545;0,790784359;
1544;0,7907463908;
1543;0,7907070518;
1542;0,7905221581;
1541;0,7900332808;
1540;0,789988637;
1539;0,7899665236;
1538;0,7899962068;
1537;0,7894772291;
1536;0,7893670797;
1535;0,7892738581;
1534;0,7893869877;
1533;0,7891486287;
1532;0,7889239192;
1531;0,7888140082;
1530;0,7886545062;
1529;0,7884611487;
1528;0,788330555;
1527;0,7882521152;
1526;0,7880871892;
1525;0,7880331278;
1524;0,7879317999;
1523;0,7876671553;
1522;0,7876783609;
1521;0,7876043916;
1520;0,7875195742;
1519;0,7872198224;
1518;0,7873085737;
1517;0,7873003483;
1516;0,7870464325;
1515;0,7869383693;
1514;0,7868944407;
1513;0,7867488861;
1512;0,7867158651;
1511;0,7866147757;
1510;0,7863712311;
1509;0,7863547802;
1508;0,786563158;
1507;0,7862330079;
1506;0,7862932682;
1505;0,7862018943;
1504;0,7862397432;
1503;0,7862740159;
1502;0,7862336636;
1501;0,7860425115;
1500;0,7860031724;
1499;0,7859790921;
1498;0,785862267;
1497;0,7858223319;
1496;0,786020577;
1495;0,7857948542;
1494;0,7857622504;
1493;0,7855561972;
1492;0,7856749296;
1491;0,7857877016;
1490;0,7856785655;
1489;0,7856578231;
1488;0,78592664;
1487;0,7859418988;
1486;0,7857505679;
1485;0,7858637571;
1484;0,7858893275;
1483;0,7858840823;
1482;0,7857800722;
1481;0,7859255075;
1480;0,7860791683;
1479;0,7860422134;
1478;0,786087513;
1477;0,785861671;
1476;0,7859584093;
1475;0,7860047221;
1474;0,7861153483;
1473;0,7863641381;
1472;0,7861657143;
1471;0,7861973047;
1470;0,7860969901;
1469;0,7860578895;
1468;0,7862179279;
1467;0,7861284614;
1466;0,7860933542;
1465;0,7861549854;
1464;0,7862802148;
1463;0,7862046361;
1462;0,7863754034;
1461;0,7862852812;
1460;0,786297977;
1459;0,7864532471;
1458;0,786689043;
1457;0,7868195772;
1456;0,786785841;
1455;0,786914587;
1454;0,7870948315;
1453;0,7872421741;
1452;0,7871940136;
1451;0,7873120308;
1450;0,7877301574;
1449;0,7876618505;
1448;0,7877901196;
1447;0,7880940437;
1446;0,7879871726;
1445;0,7881762981;
1444;0,7883051038;
1443;0,7887604237;
1442;0,7888326049;
1441;0,7889026403;
1440;0,7890921831;
1439;0,7892170548;
1438;0,7893614173;
1437;0,7894715071;
1436;0,789648056;
1435;0,78969872;
1434;0,7899162769;
1433;0,7901187539;
1432;0,7903162837;
1431;0,7904081345;
1430;0,7905248404;
1429;0,7909169793;
1428;0,7909321189;
1427;0,7914454937;
1426;0,7914152741;
1425;0,7916072607;
1424;0,7919144034;
1423;0,7922860384;
1422;0,7926185131;
1421;0,7928437591;
1420;0,7933385372;
1419;0,7934711576;
1418;0,7941343188;
1417;0,7944701314;
1416;0,7949682474;
1415;0,7952078581;
1414;0,7957812548;
1413;0,7963485122;
1412;0,7968997955;
1411;0,7972056866;
1410;0,7976497412;
1409;0,7980428934;
1408;0,7986239195;
1407;0,7991392016;
1406;0,7994585633;
1405;0,8001151085;
1404;0,8003907204;
1403;0,8010710478;
1402;0,8015665412;
1401;0,8020288944;
1400;0,8022791743;
1399;0,8028135896;
1398;0,8032050729;
1397;0,8037406206;
1396;0,8044190407;
1395;0,8047103882;
1394;0,8054018021;
1393;0,8057282567;
1392;0,806483686;
1391;0,8071063757;
1390;0,8076493144;
1389;0,8081696033;
1388;0,8086984754;
1387;0,8088902235;
1386;0,8093504906;
1385;0,80962497;
1384;0,8097785115;
1383;0,8096678853;
1382;0,809899807;
1381;0,8098938465;
1380;0,8100239635;
1379;0,8102070093;
1378;0,8104994297;
1377;0,8104730248;
1376;0,8104189038;
1375;0,8102544546;
1374;0,8103327751;
1373;0,8105458617;
1372;0,8106185794;
1371;0,8110039234;
1370;0,8108131289;
1369;0,8109926581;
1368;0,811295867;
1367;0,8112661242;
1366;0,8115444183;
1365;0,8117268682;
1364;0,8114970922;
1363;0,8113566041;
1362;0,8108005524;
1361;0,8107658029;
1360;0,8103372455;
1359;0,8098852634;
1358;0,8093895912;
1357;0,8085309267;
1356;0,8081365228;
1355;0,8077371716;
1354;0,8072690964;
1353;0,8067774773;
1352;0,8063955903;
1351;0,8061714172;
1350;0,8056902289;
1349;0,8055896163;
1348;0,8054641485;
1347;0,8053382039;
1346;0,8050237894;
1345;0,804979682;
1344;0,8053552508;
1343;0,8051409125;
1342;0,8054272532;
1341;0,80546242;
1340;0,8054557443;
1339;0,8055846095;
1338;0,8057228327;
1337;0,8059332967;
1336;0,8061537743;
1335;0,8058800697;
1334;0,8063844442;
1333;0,806676507;
1332;0,8068947792;
1331;0,8069292903;
1330;0,8068039417;
1329;0,8071482778;
1328;0,807307899;
1327;0,8075987697;
1326;0,8076781631;
1325;0,8078593612;
1324;0,8078452945;
1323;0,8081404567;
1322;0,8084129095;
1321;0,8085144758;
1320;0,8086000085;
1319;0,8088732958;
1318;0,8091664314;
1317;0,8092671037;
1316;0,8096371293;
1315;0,8096942306;
1314;0,8098300695;
1313;0,8100857139;
1312;0,8103291392;
1311;0,8104528189;
1310;0,8104545474;
1309;0,8106272817;
1308;0,810793519;
1307;0,811023891;
1306;0,8111113906;
1305;0,8111078739;
1304;0,8113178015;
1303;0,8114883304;
1302;0,8115898967;
1301;0,8115633726;
1300;0,8116068244;
1299;0,8115608692;
1298;0,8117522597;
1297;0,811763823;
1296;0,8120102882;
1295;0,8120959997;
1294;0,8122372031;
1293;0,8121041656;
1292;0,8123056889;
1291;0,8121261597;
1290;0,8120530844;
1289;0,8124851584;
1288;0,8124945164;
1287;0,8123195767;
1286;0,8125631809;
1285;0,8126391768;
1284;0,8125997782;
1283;0,8127347231;
1282;0,813075006;
1281;0,8131219149;
1280;0,8133521676;
1279;0,8132312894;
1278;0,8131963015;
1277;0,8133433461;
1276;0,8133153319;
1275;0,8133401871;
1274;0,8135970235;
1273;0,8136841059;
1272;0,8136410713;
1271;0,8137541413;
1270;0,8138665557;
1269;0,8139226437;
1268;0,8139739633;
1267;0,8140861392;
1266;0,8140750527;
1265;0,8141587377;
1264;0,8141490817;
1263;0,8144420385;
1262;0,8141840696;
1261;0,8142861128;
1260;0,8145937324;
1259;0,8144692183;
1258;0,8145668507;
1257;0,8147419691;
1256;0,8146778941;
1255;0,8149689436;
1254;0,8147432804;
1253;0,8148354292;
1252;0,8149009943;
1251;0,8151013851;
1250;0,8150116801;
1249;0,8148722053;
1248;0,8149332404;
1247;0,815104425;
1246;0,8151592016;
1245;0,8151492476;
1244;0,8152569532;
1243;0,815104723;
1242;0,8152197599;
1241;0,8153221607;
1240;0,815261066;
1239;0,8154260516;
1238;0,8153038621;
1237;0,815320313;
1236;0,8157369494;
1235;0,815688014;
1234;0,8155086637;
1233;0,8157498837;
1232;0,8158504963;
1231;0,8158735633;
1230;0,8158084154;
1229;0,8157176375;
1228;0,8159508109;
1227;0,8160719275;
1226;0,8159739971;
1225;0,8160871863;
