cobalto;;
Long. Onda (nm);%R;
2086;17,46792412;
2085;17,49183083;
2084;17,48268318;
2083;17,48455238;
2082;17,53807831;
2081;17,48561478;
2080;17,49941444;
2079;17,46690178;
2078;17,46056175;
2077;17,48438454;
2076;17,47417068;
2075;17,46344376;
2074;17,48143959;
2073;17,45266914;
2072;17,46340561;
2071;17,47161674;
2070;17,41481781;
2069;17,50192833;
2068;17,42001152;
2067;17,45311546;
2066;17,47272682;
2065;17,45198441;
2064;17,45570755;
2063;17,43915558;
2062;17,44649887;
2061;17,44087791;
2060;17,41303825;
2059;17,39159012;
2058;17,39956856;
2057;17,43717575;
2056;17,39889908;
2055;17,40773201;
2054;17,38451767;
2053;17,42915726;
2052;17,39996338;
2051;17,3592205;
2050;17,35414505;
2049;17,39438248;
2048;17,420784;
2047;17,39204407;
2046;17,37143898;
2045;17,37995338;
2044;17,38362694;
2043;17,3619976;
2042;17,31923103;
2041;17,34531593;
2040;17,34921837;
2039;17,37041283;
2038;17,37699127;
2037;17,34627151;
2036;17,31056404;
2035;17,34914398;
2034;17,35044861;
2033;17,33832741;
2032;17,32984543;
2031;17,35328484;
2030;17,31002998;
2029;17,32470322;
2028;17,28267097;
2027;17,32793427;
2026;17,30686378;
2025;17,32459831;
2024;17,28369331;
2023;17,24261284;
2022;17,25492859;
2021;17,27507019;
2020;17,26524162;
2019;17,28227806;
2018;17,24762726;
2017;17,2866993;
2016;17,28672409;
2015;17,26597786;
2014;17,25435829;
2013;17,25491524;
2012;17,23890305;
2011;17,252491;
2010;17,22227669;
2009;17,21604919;
2008;17,23186874;
2007;17,21566391;
2006;17,24404144;
2005;17,20158005;
2004;17,20034599;
2003;17,19883156;
2002;17,21926308;
2001;17,20466423;
2000;17,19592285;
1999;17,19252777;
1998;17,21195221;
1997;17,1855011;
1996;17,19618797;
1995;17,20658875;
1994;17,19397545;
1993;17,17938614;
1992;17,18238258;
1991;17,21386147;
1990;17,15869904;
1989;17,18157768;
1988;17,18327332;
1987;17,16543961;
1986;17,16719246;
1985;17,1401062;
1984;17,15864563;
1983;17,17103004;
1982;17,14865875;
1981;17,1339283;
1980;17,15480423;
1979;17,12240219;
1978;17,11923981;
1977;17,12207413;
1976;17,1221714;
1975;17,13856697;
1974;17,1458683;
1973;17,16343689;
1972;17,13982582;
1971;17,14499664;
1970;17,14944458;
1969;17,13809204;
1968;17,14836884;
1967;17,1194725;
1966;17,13567162;
1965;17,12940407;
1964;17,16523361;
1963;17,15409088;
1962;17,1312561;
1961;17,14022446;
1960;17,11952019;
1959;17,12132454;
1958;17,12675858;
1957;17,14074707;
1956;17,13106918;
1955;17,12100029;
1954;17,11608887;
1953;17,13559914;
1952;17,13908958;
1951;17,11916542;
1950;17,11378479;
1949;17,12489891;
1948;17,10507393;
1947;17,11965942;
1946;17,12575912;
1945;17,12179184;
1944;17,10671997;
1943;17,13216591;
1942;17,12583923;
1941;17,12691307;
1940;17,10775566;
1939;17,10969543;
1938;17,12130547;
1937;17,10009384;
1936;17,11616516;
1935;17,11806107;
1934;17,10902977;
1933;17,12081718;
1932;17,1043148;
1931;17,08767128;
1930;17,08857155;
1929;17,10379028;
1928;17,08730507;
1927;17,08344269;
1926;17,08795929;
1925;17,05168915;
1924;17,07250214;
1923;17,07052612;
1922;17,06146431;
1921;17,05424881;
1920;17,06739807;
1919;17,07512665;
1918;17,04673195;
1917;17,0516758;
1916;17,01280594;
1915;17,03042984;
1914;17,02636719;
1913;16,99953461;
1912;16,98923111;
1911;16,9679718;
1910;16,95095634;
1909;16,95210266;
1908;16,91530418;
1907;16,89357376;
1906;16,8876667;
1905;16,88648605;
1904;16,89088249;
1903;16,86129189;
1902;16,83670044;
1901;16,83963013;
1900;16,81740952;
1899;16,81732559;
1898;16,80994034;
1897;16,8176384;
1896;16,78625679;
1895;16,80783081;
1894;16,78461647;
1893;16,81920052;
1892;16,80971909;
1891;16,84938049;
1890;16,85857773;
1889;16,87798882;
1888;16,91015244;
1887;16,9272995;
1886;16,93972015;
1885;16,95692444;
1884;16,96149254;
1883;16,96853256;
1882;16,96441269;
1881;16,96081352;
1880;16,95033455;
1879;16,92955589;
1878;16,89569855;
1877;16,87855148;
1876;16,88504791;
1875;16,86235428;
1874;16,84136772;
1873;16,80259132;
1872;16,81169891;
1871;16,78678894;
1870;16,78543472;
1869;16,73548508;
1868;16,73194695;
1867;16,71145058;
1866;16,69371605;
1865;16,70753288;
1864;16,69077492;
1863;16,66687012;
1862;16,66403198;
1861;16,66320229;
1860;16,66109848;
1859;16,68073463;
1858;16,66933823;
1857;16,65472794;
1856;16,69324112;
1855;16,68161201;
1854;16,69031715;
1853;16,69617653;
1852;16,71833038;
1851;16,69963074;
1850;16,68276405;
1849;16,67036057;
1848;16,65841103;
1847;16,66169548;
1846;16,62475014;
1845;16,61615753;
1844;16,60890579;
1843;16,57318687;
1842;16,54997253;
1841;16,54389763;
1840;16,51988411;
1839;16,52808762;
1838;16,51433945;
1837;16,49100876;
1836;16,48922348;
1835;16,48860168;
1834;16,4533596;
1833;16,44862556;
1832;16,4346199;
1831;16,41085243;
1830;16,4029026;
1829;16,41640854;
1828;16,38258553;
1827;16,38318634;
1826;16,37802505;
1825;16,37309456;
1824;16,33856201;
1823;16,34344673;
1822;16,3302269;
1821;16,33621216;
1820;16,33287621;
1819;16,33287239;
1818;16,31613731;
1817;16,32528687;
1816;16,30377579;
1815;16,30451012;
1814;16,29822731;
1813;16,28731918;
1812;16,28131485;
1811;16,24954414;
1810;16,27220535;
1809;16,26726151;
1808;16,25483704;
1807;16,24160194;
1806;16,26025772;
1805;16,25299835;
1804;16,22801971;
1803;16,24818802;
1802;16,22908974;
1801;16,22740936;
1800;16,23037338;
1799;16,2184639;
1798;16,20284271;
1797;16,2039032;
1796;16,18465805;
1795;16,19993591;
1794;16,19197464;
1793;16,17636108;
1792;16,16225243;
1791;16,16595078;
1790;16,16159058;
1789;16,14928627;
1788;16,14023209;
1787;16,13360214;
1786;16,13089371;
1785;16,12538338;
1784;16,12025452;
1783;16,11256981;
1782;16,11491203;
1781;16,10523796;
1780;16,1080761;
1779;16,09047508;
1778;16,07361412;
1777;16,07365608;
1776;16,06625366;
1775;16,06703949;
1774;16,05928421;
1773;16,0500145;
1772;16,036623;
1771;16,03036308;
1770;16,01638603;
1769;16,01341057;
1768;16,00386429;
1767;16,00372314;
1766;15,99304962;
1765;15,98475266;
1764;15,98352623;
1763;15,9647274;
1762;15,97073936;
1761;15,94186974;
1760;15,94680405;
1759;15,93707466;
1758;15,93039036;
1757;15,92348385;
1756;15,93103218;
1755;15,92236614;
1754;15,91361332;
1753;15,90809345;
1752;15,89650631;
1751;15,90200329;
1750;15,89741707;
1749;15,88345337;
1748;15,89474869;
1747;15,88412189;
1746;15,87482548;
1745;15,87450314;
1744;15,87347794;
1743;15,86170197;
1742;15,85910511;
1741;15,85009956;
1740;15,8508749;
1739;15,84332561;
1738;15,84146881;
1737;15,8358469;
1736;15,83308697;
1735;15,81936073;
1734;15,80717564;
1733;15,8019886;
1732;15,78699017;
1731;15,79981613;
1730;15,7896862;
1729;15,7810154;
1728;15,77050877;
1727;15,76771545;
1726;15,75819588;
1725;15,74962139;
1724;15,7522316;
1723;15,73227024;
1722;15,72932625;
1721;15,7322464;
1720;15,72889519;
1719;15,71404171;
1718;15,71210194;
1717;15,70678616;
1716;15,69753265;
1715;15,69375801;
1714;15,68262577;
1713;15,69061852;
1712;15,68686104;
1711;15,67731476;
1710;15,66184044;
1709;15,66397285;
1708;15,66311073;
1707;15,66919994;
1706;15,65039158;
1705;15,65596581;
1704;15,64971066;
1703;15,65192986;
1702;15,64155102;
1701;15,63572693;
1700;15,63384342;
1699;15,62600899;
1698;15,62239361;
1697;15,61377621;
1696;15,60557652;
1695;15,61689568;
1694;15,61146355;
1693;15,60197353;
1692;15,60252476;
1691;15,59793186;
1690;15,59720325;
1689;15,59448719;
1688;15,59666443;
1687;15,58642864;
1686;15,58301449;
1685;15,58188248;
1684;15,5829668;
1683;15,57061386;
1682;15,57378483;
1681;15,5683279;
1680;15,56712055;
1679;15,566535;
1678;15,56489277;
1677;15,55733204;
1676;15,56077766;
1675;15,55636978;
1674;15,5540123;
1673;15,55560875;
1672;15,54887486;
1671;15,5428524;
1670;15,54338455;
1669;15,53707695;
1668;15,53067303;
1667;15,53704166;
1666;15,5411396;
1665;15,53367424;
1664;15,53596592;
1663;15,53637123;
1662;15,53061199;
1661;15,53642178;
1660;15,52886391;
1659;15,5277462;
1658;15,51930332;
1657;15,51490021;
1656;15,51933098;
1655;15,52000904;
1654;15,52379704;
1653;15,51706982;
1652;15,5184164;
1651;15,50830173;
1650;15,51786995;
1649;15,51103783;
1648;15,51348305;
1647;15,51637077;
1646;15,50867081;
1645;15,50003433;
1644;15,49670982;
1643;15,50510502;
1642;15,49504662;
1641;15,48980618;
1640;15,49370098;
1639;15,4801054;
1638;15,48529816;
1637;15,48270988;
1636;15,4745369;
1635;15,46813107;
1634;15,47531509;
1633;15,46802711;
1632;15,46119881;
1631;15,45420265;
1630;15,45694733;
1629;15,45992756;
1628;15,46055508;
1627;15,45686722;
1626;15,45225716;
1625;15,46875095;
1624;15,48168659;
1623;15,48139572;
1622;15,4973011;
1621;15,50283241;
1620;15,51123524;
1619;15,51830769;
1618;15,53312111;
1617;15,53828144;
1616;15,54280376;
1615;15,55315113;
1614;15,56834316;
1613;15,57250023;
1612;15,57113361;
1611;15,58344364;
1610;15,59327984;
1609;15,60304356;
1608;15,61098385;
1607;15,61931419;
1606;15,62667751;
1605;15,62640381;
1604;15,63710308;
1603;15,65139103;
1602;15,65714359;
1601;15,66557407;
1600;15,66592312;
1599;15,66988945;
1598;15,68637657;
1597;15,68653774;
1596;15,70176506;
1595;15,69860268;
1594;15,70530415;
1593;15,71443367;
1592;15,72817993;
1591;15,73394394;
1590;15,73840237;
1589;15,74868298;
1588;15,74977779;
1587;15,75759315;
1586;15,77331734;
1585;15,7679472;
1584;15,78356361;
1583;15,7872591;
1582;15,79078484;
1581;15,79634571;
1580;15,79900265;
1579;15,80263996;
1578;15,80977726;
1577;15,81610775;
1576;15,83326912;
1575;15,83184433;
1574;15,83385277;
1573;15,83922958;
1572;15,85259914;
1571;15,8530817;
1570;15,85234547;
1569;15,86264801;
1568;15,86896133;
1567;15,87169361;
1566;15,87802315;
1565;15,88487053;
1564;15,90135384;
1563;15,89107227;
1562;15,90062046;
1561;15,90570545;
1560;15,9083786;
1559;15,92065716;
1558;15,90955734;
1557;15,93148899;
1556;15,92789745;
1555;15,93984222;
1554;15,933074;
1553;15,93584538;
1552;15,94668198;
1551;15,94779778;
1550;15,95590973;
1549;15,95563889;
1548;15,95981884;
1547;15,96138;
1546;15,96493721;
1545;15,97440434;
1544;15,98006344;
1543;15,97322941;
1542;15,98209572;
1541;15,98118114;
1540;15,98549938;
1539;15,9915657;
1538;15,98927402;
1537;15,9990387;
1536;15,99560928;
1535;16,00588036;
1534;16,00651932;
1533;16,01080132;
1532;16,01046944;
1531;16,01263618;
1530;16,02131844;
1529;16,02596664;
1528;16,02296829;
1527;16,0318203;
1526;16,02666473;
1525;16,0298214;
1524;16,03801155;
1523;16,04120636;
1522;16,03588676;
1521;16,03583717;
1520;16,04900742;
1519;16,05204964;
1518;16,04584503;
1517;16,0437851;
1516;16,04699898;
1515;16,04631233;
1514;16,04964828;
1513;16,05406761;
1512;16,05894279;
1511;16,04610062;
1510;16,05622673;
1509;16,06295967;
1508;16,05809212;
1507;16,06154442;
1506;16,0583725;
1505;16,06414795;
1504;16,06440353;
1503;16,06273651;
1502;16,06530952;
1501;16,07159233;
1500;16,07146263;
1499;16,06911659;
1498;16,06739807;
1497;16,07249451;
1496;16,0650177;
1495;16,07699203;
1494;16,07256317;
1493;16,06919479;
1492;16,06726646;
1491;16,07166672;
1490;16,08170509;
1489;16,06769943;
1488;16,06422806;
1487;16,06850243;
1486;16,05918884;
1485;16,0676403;
1484;16,06685257;
1483;16,06801414;
1482;16,05622864;
1481;16,05753708;
1480;16,06026077;
1479;16,05467415;
1478;16,05329895;
1477;16,04227066;
1476;16,04649544;
1475;16,04422569;
1474;16,03934288;
1473;16,03551674;
1472;16,03507614;
1471;16,03240585;
1470;16,02969742;
1469;16,03182411;
1468;16,031147;
1467;16,02351761;
1466;16,02236557;
1465;16,03056717;
1464;16,01635933;
1463;16,02475929;
1462;16,01743317;
1461;16,02489281;
1460;16,01813507;
1459;16,02323532;
1458;16,02544594;
1457;16,01296997;
1456;16,01626205;
1455;16,01441002;
1454;16,01627541;
1453;16,01332855;
1452;16,00783157;
1451;16,00612831;
1450;15,99464989;
1449;16,00102615;
1448;15,97976685;
1447;15,9856739;
1446;15,98184109;
1445;15,97582436;
1444;15,96100521;
1443;15,95916557;
1442;15,9625473;
1441;15,9486351;
1440;15,94462395;
1439;15,94356346;
1438;15,93680191;
1437;15,92765141;
1436;15,91511822;
1435;15,91614819;
1434;15,90911293;
1433;15,90604019;
1432;15,89923954;
1431;15,89312744;
1430;15,88883591;
1429;15,87959194;
1428;15,88777733;
1427;15,87562084;
1426;15,86609364;
1425;15,86422062;
1424;15,84749413;
1423;15,85225868;
1422;15,84597397;
1421;15,83413219;
1420;15,841362;
1419;15,82071304;
1418;15,81096172;
1417;15,80833912;
1416;15,79248142;
1415;15,78965378;
1414;15,77398968;
1413;15,76528072;
1412;15,75224876;
1411;15,73581886;
1410;15,71706867;
1409;15,71346092;
1408;15,69648361;
1407;15,67939663;
1406;15,66420746;
1405;15,63944626;
1404;15,61984539;
1403;15,60208225;
1402;15,59031296;
1401;15,56649971;
1400;15,56073761;
1399;15,54406261;
1398;15,52694702;
1397;15,51480293;
1396;15,50738049;
1395;15,49639702;
1394;15,47563076;
1393;15,46237946;
1392;15,44511604;
1391;15,41631794;
1390;15,38939762;
1389;15,37057877;
1388;15,35213757;
1387;15,32838154;
1386;15,30889988;
1385;15,27640057;
1384;15,2652998;
1383;15,24608326;
1382;15,22514343;
1381;15,2114048;
1380;15,19366074;
1379;15,18717384;
1378;15,1733036;
1377;15,16894817;
1376;15,17855263;
1375;15,1779089;
1374;15,16818237;
1373;15,17487335;
1372;15,16496849;
1371;15,16228199;
1370;15,16508198;
1369;15,15850735;
1368;15,14831448;
1367;15,14293098;
1366;15,14062023;
1365;15,1340847;
1364;15,11894131;
1363;15,10384846;
1362;15,09487152;
1361;15,097229;
1360;15,08826065;
1359;15,07103443;
1358;15,07478809;
1357;15,07950687;
1356;15,09160805;
1355;15,10249329;
1354;15,1159029;
1353;15,13419628;
1352;15,14814186;
1351;15,16726589;
1350;15,18257236;
1349;15,21080112;
1348;15,22469234;
1347;15,24733734;
1346;15,26253033;
1345;15,28104115;
1344;15,29435635;
1343;15,30340767;
1342;15,30994797;
1341;15,31599426;
1340;15,33382797;
1339;15,32376862;
1338;15,33863068;
1337;15,33310986;
1336;15,3384819;
1335;15,33678627;
1334;15,34053993;
1333;15,33526516;
1332;15,33051682;
1331;15,33223534;
1330;15,33373737;
1329;15,32090187;
1328;15,3181076;
1327;15,3113451;
1326;15,31185913;
1325;15,31208897;
1324;15,31205463;
1323;15,30142879;
1322;15,30025578;
1321;15,29528904;
1320;15,28744698;
1319;15,28620148;
1318;15,27601051;
1317;15,2780323;
1316;15,2558918;
1315;15,26066208;
1314;15,2538414;
1313;15,24796295;
1312;15,24414253;
1311;15,22740269;
1310;15,2177887;
1309;15,21830559;
1308;15,21058083;
1307;15,19802952;
1306;15,20087719;
1305;15,18260098;
1304;15,18512917;
1303;15,17908001;
1302;15,17478657;
1301;15,16148186;
1300;15,16679382;
1299;15,15769196;
1298;15,15899849;
1297;15,15283871;
1296;15,15053368;
1295;15,15496826;
1294;15,15798378;
1293;15,15441418;
1292;15,14802265;
1291;15,14689445;
1290;15,14037132;
1289;15,15093613;
1288;15,1466732;
1287;15,14422894;
1286;15,14461517;
1285;15,1294117;
1284;15,14319229;
1283;15,12601376;
1282;15,12382221;
1281;15,12776566;
1280;15,12709141;
1279;15,12236118;
1278;15,12330055;
1277;15,11952591;
1276;15,11470222;
1275;15,1284399;
1274;15,11651134;
1273;15,1154623;
1272;15,12236404;
1271;15,11232281;
1270;15,10883236;
1269;15,11157417;
1268;15,1055069;
1267;15,10637379;
1266;15,10667324;
1265;15,09809208;
1264;15,10270691;
1263;15,10263348;
1262;15,10059071;
1261;15,09922123;
1260;15,09305382;
1259;15,09839725;
1258;15,09852409;
1257;15,0887146;
1256;15,08505917;
1255;15,08705616;
1254;15,08785343;
1253;15,08793354;
1252;15,08010483;
1251;15,08492374;
1250;15,07840633;
1249;15,08824635;
1248;15,08224297;
1247;15,08129692;
1246;15,07728386;
1245;15,06944752;
1244;15,07597256;
1243;15,07627106;
1242;15,07153988;
1241;15,06520367;
1240;15,07138348;
1239;15,06827641;
1238;15,06620026;
1237;15,06894875;
1236;15,06831455;
1235;15,06516743;
1234;15,06002426;
1233;15,06034851;
1232;15,06579208;
1231;15,06162262;
1230;15,05788136;
1229;15,06719398;
1228;15,05652809;
1227;15,06030273;
1226;15,05695438;
1225;15,05361462;
1224;15,04952431;
1223;15,05250931;
1222;15,05334568;
1221;15,04724789;
1220;15,0532589;
1219;15,05520535;
1218;15,05203819;
1217;15,04905033;
1216;15,04619408;
1215;15,04093266;
1214;15,04360867;
1213;15,04157925;
1212;15,04692554;
1211;15,04436588;
1210;15,03215313;
1209;15,04253578;
1208;15,03281879;
1207;15,03385448;
1206;15,03560543;
1205;15,03178501;
1204;15,04040337;
1203;15,03897285;
1202;15,03173256;
1201;15,03177452;
1200;15,03543091;
1199;15,4113636;
1198;15,46122837;
1197;15,46364307;
1196;15,4769392;
1195;15,49499893;
1194;15,49150658;
1193;15,497118;
1192;15,51431847;
1191;15,51586056;
1190;15,52137566;
1189;15,53028965;
1188;15,53927326;
1187;15,54193974;
1186;15,54729462;
1185;15,55747128;
1184;15,55690956;
1183;15,57112885;
1182;15,57388306;
1181;15,58717537;
1180;15,59082985;
1179;15,60272884;
1178;15,61329174;
1177;15,61479282;
1176;15,63196373;
1175;15,63993263;
1174;15,65299034;
1173;15,6580286;
1172;15,65877819;
1171;15,6722784;
1170;15,68620396;
1169;15,69071865;
1168;15,69844818;
1167;15,70766163;
1166;15,71522236;
1165;15,73541355;
1164;15,74061966;
1163;15,75172997;
1162;15,75285912;
1161;15,76326942;
1160;15,76399612;
1159;15,77916908;
1158;15,79299259;
1157;15,79635334;
1156;15,80893135;
1155;15,81621933;
1154;15,82764435;
1153;15,83769608;
1152;15,83651733;
1151;15,85776615;
1150;15,85445213;
1149;15,86882496;
1148;15,88444138;
1147;15,88360977;
1146;15,89448452;
1145;15,91300392;
1144;15,91099644;
1143;15,92954731;
1142;15,9423008;
1141;15,95046806;
1140;15,94891262;
1139;15,96697235;
1138;15,97047997;
1137;15,98371601;
1136;15,99814701;
1135;16,00614929;
1134;16,01941872;
1133;16,02741241;
1132;16,03233528;
1131;16,04886436;
1130;16,05306244;
1129;16,06837845;
1128;16,07419777;
1127;16,08296776;
1126;16,10038948;
1125;16,10573387;
1124;16,1186657;
1123;16,11878204;
1122;16,13710213;
1121;16,14984322;
1120;16,15942955;
1119;16,17212868;
1118;16,1883297;
1117;16,19626808;
1116;16,21775436;
1115;16,2177372;
1114;16,22237778;
1113;16,24923706;
1112;16,2563858;
1111;16,27441025;
1110;16,28464317;
1109;16,29799652;
1108;16,31991196;
1107;16,3263073;
