Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4483988,-,b'Nariño',b'Colombia',0.82,-77.93,-5,4277,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,DNI,GHI,Solar Zenith Angle,Surface Albedo
2021,1,1,0,0,0,0.5,0,0,0,0,0,157.53,0.11
2021,1,1,1,0,0,0.30000000000000004,0,0,0,0,0,155.32,0.11
2021,1,1,2,0,0,-0.1,0,0,0,0,0,146.28,0.11
2021,1,1,3,0,0,-0.30000000000000004,0,0,0,0,0,134.31,0.11
2021,1,1,4,0,0,-0.5,0,0,0,0,0,121.21000000000001,0.11
2021,1,1,5,0,0,-0.6000000000000001,0,0,0,0,0,107.63,0.11
2021,1,1,6,0,0,-0.4,0,0,0,0,0,93.86,0.11
2021,1,1,7,0,61,0.8,37,662,152,0,61,80.01,0.11
2021,1,1,8,0,192,2.6,56,898,416,121,240,66.39,0.11
2021,1,1,9,0,316,4.6000000000000005,65,999,665,106,380,53.1,0.11
2021,1,1,10,0,249,6,81,1029,862,21,265,40.62,0.11
2021,1,1,11,0,398,6.6000000000000005,88,1052,999,32,426,30.03,0.11
2021,1,1,12,0,370,6.4,88,1062,1057,26,393,24.05,0.11
2021,1,1,13,0,517,5.7,116,1014,1027,307,792,26.1,0.11
2021,1,1,14,0,164,5,109,999,929,18,179,34.78,0.11
2021,1,1,15,0,380,4.3,97,962,759,118,462,46.5,0.11
2021,1,1,16,0,257,3.6,88,873,531,107,311,59.46,0.11
2021,1,1,17,0,32,2.7,66,712,274,0,32,72.95,0.11
2021,1,1,18,0,21,1.9000000000000001,23,280,39,37,23,86.60000000000001,0.11
2021,1,1,19,0,0,1.8,0,0,0,0,0,100.54,0.11
2021,1,1,20,0,0,1.6,0,0,0,0,0,114.25,0.11
2021,1,1,21,0,0,1.3,0,0,0,0,0,127.65,0.11
2021,1,1,22,0,0,1.1,0,0,0,0,0,140.35,0.11
2021,1,1,23,0,0,0.8,0,0,0,0,0,151.27,0.11
2021,1,2,0,0,0,0.6000000000000001,0,0,0,0,0,157.6,0.11
2021,1,2,1,0,0,0.4,0,0,0,0,0,155.45000000000002,0.11
2021,1,2,2,0,0,0.2,0,0,0,0,0,146.42000000000002,0.11
2021,1,2,3,0,0,0.1,0,0,0,0,0,134.45,0.11
2021,1,2,4,0,0,0,0,0,0,0,0,121.34,0.11
2021,1,2,5,0,0,-0.2,0,0,0,0,0,107.75,0.11
2021,1,2,6,0,0,0,0,0,0,0,0,93.97,0.11
2021,1,2,7,0,53,1.4000000000000001,34,693,153,430,127,80.11,0.11
2021,1,2,8,0,83,3.2,48,929,419,0,83,66.48,0.11
2021,1,2,9,0,281,5,54,1023,668,48,310,53.17,0.11
2021,1,2,10,0,235,6.300000000000001,61,1064,869,20,251,40.660000000000004,0.11
2021,1,2,11,0,99,6.6000000000000005,67,1085,1006,4,102,30.03,0.11
2021,1,2,12,0,136,6,69,1089,1064,14,149,23.98,0.11
2021,1,2,13,0,299,5.4,79,1072,1042,23,319,25.97,0.11
2021,1,2,14,0,50,4.7,77,1054,944,0,50,34.64,0.11
2021,1,2,15,0,363,4,69,1020,773,406,643,46.36,0.11
2021,1,2,16,0,57,3.2,65,944,546,0,57,59.33,0.11
2021,1,2,17,0,126,2.4000000000000004,48,815,288,62,144,72.83,0.11
2021,1,2,18,0,22,1.8,18,427,45,92,27,86.49,0.11
2021,1,2,19,0,0,1.7000000000000002,0,0,0,0,0,100.43,0.1
2021,1,2,20,0,0,1.5,0,0,0,0,0,114.16,0.1
2021,1,2,21,0,0,1.3,0,0,0,0,0,127.58,0.1
2021,1,2,22,0,0,1.1,0,0,0,0,0,140.3,0.1
2021,1,2,23,0,0,0.9,0,0,0,0,0,151.27,0.1
2021,1,3,0,0,0,0.6000000000000001,0,0,0,0,0,157.67000000000002,0.1
2021,1,3,1,0,0,0.4,0,0,0,0,0,155.58,0.1
2021,1,3,2,0,0,0.2,0,0,0,0,0,146.56,0.1
2021,1,3,3,0,0,0,0,0,0,0,0,134.58,0.1
2021,1,3,4,0,0,-0.1,0,0,0,0,0,121.46000000000001,0.1
2021,1,3,5,0,0,-0.2,0,0,0,0,0,107.87,0.1
2021,1,3,6,0,0,-0.1,0,0,0,0,0,94.08,0.1
2021,1,3,7,0,33,1.3,33,699,152,0,33,80.21000000000001,0.1
2021,1,3,8,0,108,2.9000000000000004,49,927,418,2,108,66.56,0.1
2021,1,3,9,0,221,4.5,56,1022,668,21,234,53.24,0.1
2021,1,3,10,0,225,6.1000000000000005,64,1064,870,20,240,40.7,0.1
2021,1,3,11,0,178,7,66,1088,1009,19,195,30.02,0.1
2021,1,3,12,0,45,6.9,66,1100,1071,0,45,23.900000000000002,0.1
2021,1,3,13,0,242,6.4,71,1087,1049,22,262,25.84,0.1
2021,1,3,14,0,486,5.7,70,1068,951,219,666,34.5,0.1
2021,1,3,15,0,380,4.800000000000001,64,1039,782,284,576,46.230000000000004,0.1
2021,1,3,16,0,205,3.8000000000000003,62,957,552,27,219,59.2,0.1
2021,1,3,17,0,65,2.6,47,823,292,0,65,72.71000000000001,0.1
2021,1,3,18,0,10,1.8,19,433,46,0,10,86.38,0.1
2021,1,3,19,0,0,1.5,0,0,0,0,0,100.34,0.11
2021,1,3,20,0,0,1.4000000000000001,0,0,0,0,0,114.07000000000001,0.11
2021,1,3,21,0,0,1.2000000000000002,0,0,0,0,0,127.51,0.11
2021,1,3,22,0,0,1,0,0,0,0,0,140.26,0.11
2021,1,3,23,0,0,0.8,0,0,0,0,0,151.27,0.11
2021,1,4,0,0,0,0.6000000000000001,0,0,0,0,0,157.75,0.11
2021,1,4,1,0,0,0.4,0,0,0,0,0,155.72,0.11
2021,1,4,2,0,0,0.1,0,0,0,0,0,146.71,0.11
2021,1,4,3,0,0,-0.1,0,0,0,0,0,134.72,0.11
