Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4828745,-,b'Tolima',b'Colombia',4.88,-75.33,-5,5062,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,GHI,Surface Albedo,Solar Zenith Angle,DNI,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI
2021,1,1,0,0,0,0,0.35000000000000003,161.86,0,-6,0,0,0
2021,1,1,1,0,0,0,0.35000000000000003,157.54,0,-6.2,0,0,0
2021,1,1,2,0,0,0,0.35000000000000003,146.85,0,-6.4,0,0,0
2021,1,1,3,0,0,0,0.35000000000000003,134.08,0,-6.6000000000000005,0,0,0
2021,1,1,4,0,0,0,0.35000000000000003,120.59,0,-6.9,0,0,0
2021,1,1,5,0,0,0,0.35000000000000003,106.84,0,-7,0,0,0
2021,1,1,6,0,0,0,0.35000000000000003,93.05,0,-6.800000000000001,0,0,0
2021,1,1,7,0,40,172,0.35000000000000003,79.3,707,-5.5,707,172,40
2021,1,1,8,0,178,350,0.35000000000000003,65.9,421,-4.1000000000000005,946,443,57
2021,1,1,9,0,301,614,0.35000000000000003,53.03,521,-2.3000000000000003,1037,690,67
2021,1,1,10,0,88,882,0.35000000000000003,41.300000000000004,1057,-0.6000000000000001,1057,882,88
2021,1,1,11,0,516,760,0.35000000000000003,32.04,288,0.4,1081,1009,93
2021,1,1,12,0,300,321,0.35000000000000003,27.84,24,0.8,1089,1058,95
2021,1,1,13,0,524,738,0.35000000000000003,30.87,250,0.8,1073,1021,101
2021,1,1,14,0,567,757,0.35000000000000003,39.5,247,0.5,1042,902,98
2021,1,1,15,0,331,569,0.35000000000000003,50.93,376,-0.1,1001,718,87
2021,1,1,16,0,226,340,0.35000000000000003,63.660000000000004,258,-0.9,905,478,76
2021,1,1,17,0,54,210,0.35000000000000003,77,693,-2.2,693,210,54
2021,1,1,18,0,0,0,0.35000000000000003,90.38,0,-3.2,0,0,0
2021,1,1,19,0,0,0,0.35000000000000003,104.5,0,-3.7,0,0,0
2021,1,1,20,0,0,0,0.35000000000000003,118.28,0,-4.1000000000000005,0,0,0
2021,1,1,21,0,0,0,0.35000000000000003,131.84,0,-4.7,0,0,0
2021,1,1,22,0,0,0,0.35000000000000003,144.81,0,-5.2,0,0,0
2021,1,1,23,0,0,0,0.35000000000000003,156.06,0,-5.6000000000000005,0,0,0
