Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5076928,-,b'Magdalena',b'Colombia',10.86,-73.73,-5,4800,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,DNI,GHI,Surface Albedo,Solar Zenith Angle
2022,1,1,0,0,0,-0.6000000000000001,0,0,0,0,0,0.22,167.85
2022,1,1,1,0,0,-0.9,0,0,0,0,0,0.22,160.93
2022,1,1,2,0,0,-1.1,0,0,0,0,0,0.22,148.57
2022,1,1,3,0,0,-1.3,0,0,0,0,0,0.22,135.1
2022,1,1,4,0,0,-1.4000000000000001,0,0,0,0,0,0.22,121.34
2022,1,1,5,0,0,-1.6,0,0,0,0,0,0.22,107.55
2022,1,1,6,0,0,-1.3,0,0,0,0,0,0.22,93.87
2022,1,1,7,0,76,0.6000000000000001,30,756,156,19,79,0.22,80.37
2022,1,1,8,0,136,3.3000000000000003,43,967,415,584,360,0.22,67.41
2022,1,1,9,0,342,5.800000000000001,51,1048,649,304,515,0.22,55.24
2022,1,1,10,0,367,7.7,56,1089,832,514,733,0.22,44.550000000000004
2022,1,1,11,0,59,9,59,1108,948,1108,948,0.22,36.730000000000004
2022,1,1,12,0,61,9.700000000000001,61,1113,986,1113,986,0.22,33.82
2022,1,1,13,0,60,10,60,1107,944,1107,944,0.22,37
2022,1,1,14,0,57,9.700000000000001,57,1087,825,1087,825,0.22,45.01
2022,1,1,15,0,52,8.9,52,1039,636,1039,636,0.22,55.78
2022,1,1,16,0,44,7.5,44,953,400,953,400,0.22,68.01
2022,1,1,17,0,29,5,29,731,143,731,143,0.22,80.99
2022,1,1,18,0,0,3,0,0,0,0,0,0.22,94.51
2022,1,1,19,0,0,2.1,0,0,0,0,0,0.22,108.21000000000001
2022,1,1,20,0,0,1.1,0,0,0,0,0,0.22,122.01
2022,1,1,21,0,0,0.1,0,0,0,0,0,0.22,135.77
2022,1,1,22,0,0,-0.6000000000000001,0,0,0,0,0,0.22,149.23
2022,1,1,23,0,0,-1,0,0,0,0,0,0.22,161.5
2022,1,2,0,0,0,-1.4000000000000001,0,0,0,0,0,0.22,167.94
2022,1,2,1,0,0,-1.8,0,0,0,0,0,0.22,161.07
2022,1,2,2,0,0,-2.1,0,0,0,0,0,0.22,148.70000000000002
2022,1,2,3,0,0,-2.2,0,0,0,0,0,0.22,135.22
2022,1,2,4,0,0,-2.2,0,0,0,0,0,0.22,121.45
2022,1,2,5,0,0,-2.2,0,0,0,0,0,0.22,107.65
2022,1,2,6,0,0,-1.8,0,0,0,0,0,0.22,93.96000000000001
2022,1,2,7,0,95,0.4,29,764,156,157,121,0.22,80.45
2022,1,2,8,0,130,3.6,42,977,416,611,365,0.22,67.48
2022,1,2,9,0,349,6.300000000000001,50,1058,652,291,515,0.22,55.28
2022,1,2,10,0,53,8.4,53,1099,836,1099,836,0.22,44.57
2022,1,2,11,0,56,9.700000000000001,56,1118,952,1118,952,0.22,36.69
2022,1,2,12,0,56,10.5,56,1124,991,1124,991,0.22,33.730000000000004
