"A_x","A_y","B_x","B_y","C_x","C_y","AB_x","AB_y","ABCD_x","ABCD_y"
70.47284389,16933,70.47284389,20458,70.47284389,0,70.47284389,678,70.47284389,0,
71.46612978,16644,71.46612978,20472,71.46612978,0,71.46612978,663,71.46612978,0,
72.46677399,16688,72.46677399,20426,72.46677399,0,72.46677399,672,72.46677399,0,
73.46686935,16402,73.46686935,20281,73.46686935,0,73.46686935,659,73.46686935,0,
74.46672964,16502,74.46672964,20146,74.46672964,0,74.46672964,666,74.46672964,0,
75.46686673,16635,75.46686673,20447,75.46686673,0,75.46686673,668,75.46686673,0,
76.46680617,16466,76.46680617,20308,76.46680617,0,76.46680617,664,76.46680617,0,
77.46899319,16581,77.46899319,20371,77.46899319,0,77.46899319,732,77.46899319,0,
78.48285604,16463,78.48285604,20524,78.48285604,0,78.48285604,660,78.48285604,0,
79.49999857,16625,79.49999857,20111,79.49999857,0,79.49999857,692,79.49999857,0,
80.49971962,16745,80.49971962,20536,80.49971962,0,80.49971962,679,80.49971962,0,
81.50010109,16512,81.50010109,20363,81.50010109,0,81.50010109,661,81.50010109,0,
82.49657774,16607,82.49657774,20298,82.49657774,0,82.49657774,673,82.49657774,0,
83.49948931,16521,83.49948931,20364,83.49948931,0,83.49948931,664,83.49948931,0,
84.49932265,16457,84.49932265,20263,84.49932265,0,84.49932265,636,84.49932265,0,
85.49973893,16577,85.49973893,20581,85.49973893,0,85.49973893,617,85.49973893,0,
86.49973011,16568,86.49973011,20264,86.49973011,0,86.49973011,651,86.49973011,0,
87.49942327,16481,87.49942327,20438,87.49942327,0,87.49942327,702,87.49942327,0,
88.49961543,16377,88.49961543,20490,88.49961543,0,88.49961543,671,88.49961543,0,
89.52260852,16632,89.52260852,20469,89.52260852,0,89.52260852,691,89.52260852,0,
90.52259541,16562,90.52259541,20273,90.52259541,0,90.52259541,672,90.52259541,0,
91.51637077,16498,91.51637077,20462,91.51637077,0,91.51637077,690,91.51637077,0,
92.51693583,16638,92.51693583,20330,92.51693583,0,92.51693583,629,92.51693583,0,
93.5164361,16619,93.5164361,20295,93.5164361,0,93.5164361,710,93.5164361,0,
110.2837775,82716,110.2837775,101960,110.2837775,0,110.2837775,3232,110.2837775,0,
