Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4819925,-,b'Tolima',b'Colombia',4.48,-75.39,-5,2321,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,Clearsky DNI,Clearsky GHI,Temperature,Clearsky DHI,DNI,GHI,Solar Zenith Angle
2022,1,1,0,0,0,0,0,13.4,0,0,0,161.44
2022,1,1,1,0,0,0,0,13.200000000000001,0,0,0,157.21
2022,1,1,2,0,0,0,0,13,0,0,0,146.63
2022,1,1,3,0,0,0,0,12.8,0,0,0,133.91
2022,1,1,4,0,0,0,0,12.600000000000001,0,0,0,120.45
2022,1,1,5,0,0,0,0,12.4,0,0,0,106.71000000000001
2022,1,1,6,0,0,0,0,12.5,0,0,0,92.92
2022,1,1,7,0,90,520,147,13.600000000000001,49,24,94,79.15
2022,1,1,8,0,85,739,389,14.3,85,739,389,65.73
2022,1,1,9,0,274,850,619,15,105,301,455,52.84
2022,1,1,10,0,103,936,809,16.3,103,936,809,41.06
2022,1,1,11,0,504,963,930,17.8,111,198,673,31.720000000000002
2022,1,1,12,0,439,975,977,18.6,112,175,594,27.47
2022,1,1,13,0,442,900,928,19,153,22,461,30.52
2022,1,1,14,0,382,868,819,18.900000000000002,147,135,487,39.2
2022,1,1,15,0,133,811,647,18.2,133,811,647,50.69
2022,1,1,16,0,208,691,423,17.400000000000002,114,41,226,63.440000000000005
2022,1,1,17,0,77,454,180,16.1,77,454,180,76.8
2022,1,1,18,0,0,0,0,14.8,0,0,0,90.11
2022,1,1,19,0,0,0,0,14.3,0,0,0,104.32000000000001
2022,1,1,20,0,0,0,0,13.8,0,0,0,118.09
2022,1,1,21,0,0,0,0,13.4,0,0,0,131.63
2022,1,1,22,0,0,0,0,12.9,0,0,0,144.55
2022,1,1,23,0,0,0,0,12.5,0,0,0,155.71
2022,1,2,0,0,0,0,0,12.200000000000001,0,0,0,161.52
2022,1,2,1,0,0,0,0,11.8,0,0,0,157.34
2022,1,2,2,0,0,0,0,11.600000000000001,0,0,0,146.76
2022,1,2,3,0,0,0,0,11.4,0,0,0,134.04
2022,1,2,4,0,0,0,0,11.3,0,0,0,120.57000000000001
2022,1,2,5,0,0,0,0,11.3,0,0,0,106.83
2022,1,2,6,0,0,0,0,11.700000000000001,0,0,0,93.02
2022,1,2,7,0,50,443,143,13.5,60,0,50,79.24
2022,1,2,8,0,186,717,388,15.4,94,12,190,65.81
2022,1,2,9,0,113,839,619,17.1,113,839,619,52.9
2022,1,2,10,0,445,907,804,18.2,121,248,632,41.09
2022,1,2,11,0,512,915,919,18.6,141,178,663,31.7
2022,1,2,12,0,365,917,963,18.5,149,16,378,27.38
2022,1,2,13,0,335,899,928,18.1,152,18,350,30.39
2022,1,2,14,0,371,854,817,17.6,154,74,428,39.06
2022,1,2,15,0,287,810,648,17,133,6,291,50.550000000000004
2022,1,2,16,0,179,712,428,16.5,109,18,188,63.31
2022,1,2,17,0,123,499,186,15.4,72,49,134,76.67
2022,1,2,18,0,0,0,0,14,0,0,0,90
2022,1,2,19,0,0,0,0,13.4,0,0,0,104.22
2022,1,2,20,0,0,0,0,13.100000000000001,0,0,0,117.99000000000001
2022,1,2,21,0,0,0,0,12.9,0,0,0,131.55
2022,1,2,22,0,0,0,0,12.700000000000001,0,0,0,144.49
2022,1,2,23,0,0,0,0,12.4,0,0,0,155.71
2022,1,3,0,0,0,0,0,11.9,0,0,0,161.6
2022,1,3,1,0,0,0,0,11.5,0,0,0,157.48
2022,1,3,2,0,0,0,0,11.100000000000001,0,0,0,146.9
2022,1,3,3,0,0,0,0,10.9,0,0,0,134.17000000000002
2022,1,3,4,0,0,0,0,10.600000000000001,0,0,0,120.69
2022,1,3,5,0,0,0,0,10.4,0,0,0,106.94
2022,1,3,6,0,0,0,0,10.600000000000001,0,0,0,93.12
2022,1,3,7,0,22,460,144,12.4,58,0,22,79.33
2022,1,3,8,0,99,706,387,14.5,98,0,99,65.89
2022,1,3,9,0,326,818,615,16.3,123,52,357,52.96
2022,1,3,10,0,293,912,808,17.6,121,1,294,41.12
2022,1,3,11,0,428,917,923,18.5,142,254,644,31.68
2022,1,3,12,0,396,922,967,18.900000000000002,148,3,399,27.29
2022,1,3,13,0,42,817,913,19,207,0,42,30.25
2022,1,3,14,0,277,767,801,18.7,205,1,278,38.92
2022,1,3,15,0,273,716,633,18.1,176,3,275,50.410000000000004
2022,1,3,16,0,222,573,411,17.2,153,15,229,63.18
2022,1,3,17,0,11,342,175,15.9,95,0,11,76.55
2022,1,3,18,0,0,0,0,14.8,0,0,0,89.9
2022,1,3,19,0,0,0,0,14.200000000000001,0,0,0,104.11
2022,1,3,20,0,0,0,0,13.600000000000001,0,0,0,117.9
2022,1,3,21,0,0,0,0,13.200000000000001,0,0,0,131.47
2022,1,3,22,0,0,0,0,12.8,0,0,0,144.44
