Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4819925,-,b'Tolima',b'Colombia',4.48,-75.39,-5,2321,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,DNI,GHI,Surface Albedo,Solar Zenith Angle
2022,1,1,0,0,0,13.4,0,0,0,0,0,0.14,161.44
2022,1,1,1,0,0,13.200000000000001,0,0,0,0,0,0.14,157.21
2022,1,1,2,0,0,13,0,0,0,0,0,0.14,146.63
2022,1,1,3,0,0,12.8,0,0,0,0,0,0.14,133.91
2022,1,1,4,0,0,12.600000000000001,0,0,0,0,0,0.14,120.45
2022,1,1,5,0,0,12.4,0,0,0,0,0,0.14,106.71000000000001
2022,1,1,6,0,0,12.5,0,0,0,0,0,0.14,92.92
2022,1,1,7,0,90,13.600000000000001,49,520,147,24,94,0.14,79.15
2022,1,1,8,0,85,14.3,85,739,389,739,389,0.14,65.73
2022,1,1,9,0,274,15,105,850,619,301,455,0.14,52.84
2022,1,1,10,0,103,16.3,103,936,809,936,809,0.14,41.06
2022,1,1,11,0,504,17.8,111,963,930,198,673,0.14,31.720000000000002
2022,1,1,12,0,439,18.6,112,975,977,175,594,0.14,27.47
2022,1,1,13,0,442,19,153,900,928,22,461,0.14,30.52
2022,1,1,14,0,382,18.900000000000002,147,868,819,135,487,0.14,39.2
2022,1,1,15,0,133,18.2,133,811,647,811,647,0.14,50.69
2022,1,1,16,0,208,17.400000000000002,114,691,423,41,226,0.14,63.440000000000005
2022,1,1,17,0,77,16.1,77,454,180,454,180,0.14,76.8
2022,1,1,18,0,0,14.8,0,0,0,0,0,0.14,90.11
2022,1,1,19,0,0,14.3,0,0,0,0,0,0.14,104.32000000000001
2022,1,1,20,0,0,13.8,0,0,0,0,0,0.14,118.09
2022,1,1,21,0,0,13.4,0,0,0,0,0,0.14,131.63
2022,1,1,22,0,0,12.9,0,0,0,0,0,0.14,144.55
2022,1,1,23,0,0,12.5,0,0,0,0,0,0.14,155.71
2022,1,2,0,0,0,12.200000000000001,0,0,0,0,0,0.14,161.52
2022,1,2,1,0,0,11.8,0,0,0,0,0,0.14,157.34
2022,1,2,2,0,0,11.600000000000001,0,0,0,0,0,0.14,146.76
2022,1,2,3,0,0,11.4,0,0,0,0,0,0.14,134.04
2022,1,2,4,0,0,11.3,0,0,0,0,0,0.14,120.57000000000001
2022,1,2,5,0,0,11.3,0,0,0,0,0,0.14,106.83
2022,1,2,6,0,0,11.700000000000001,0,0,0,0,0,0.14,93.02
2022,1,2,7,0,50,13.5,60,443,143,0,50,0.14,79.24
2022,1,2,8,0,186,15.4,94,717,388,12,190,0.14,65.81
2022,1,2,9,0,113,17.1,113,839,619,839,619,0.14,52.9
2022,1,2,10,0,445,18.2,121,907,804,248,632,0.14,41.09
2022,1,2,11,0,512,18.6,141,915,919,178,663,0.14,31.7
2022,1,2,12,0,365,18.5,149,917,963,16,378,0.14,27.38
2022,1,2,13,0,335,18.1,152,899,928,18,350,0.14,30.39
2022,1,2,14,0,371,17.6,154,854,817,74,428,0.14,39.06
2022,1,2,15,0,287,17,133,810,648,6,291,0.14,50.550000000000004
2022,1,2,16,0,179,16.5,109,712,428,18,188,0.14,63.31
2022,1,2,17,0,123,15.4,72,499,186,49,134,0.14,76.67
2022,1,2,18,0,0,14,0,0,0,0,0,0.14,90
2022,1,2,19,0,0,13.4,0,0,0,0,0,0.14,104.22
2022,1,2,20,0,0,13.100000000000001,0,0,0,0,0,0.14,117.99000000000001
2022,1,2,21,0,0,12.9,0,0,0,0,0,0.14,131.55
2022,1,2,22,0,0,12.700000000000001,0,0,0,0,0,0.14,144.49
