Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4882420,-,b'Caldas',b'Colombia',5.66,-74.97,-5,871,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Clearsky GHI,Clearsky DNI,GHI,DNI,Clearsky DHI,Temperature,Solar Zenith Angle,Surface Albedo
2021,1,1,0,0,0,0,0,0,0,0,20.6,162.66,0.14
2021,1,1,1,0,0,0,0,0,0,0,20,157.96,0.14
2021,1,1,2,0,0,0,0,0,0,0,19.8,147.01,0.14
2021,1,1,3,0,0,0,0,0,0,0,19.400000000000002,134.12,0.14
2021,1,1,4,0,0,0,0,0,0,0,19,120.58,0.14
2021,1,1,5,0,0,0,0,0,0,0,18.8,106.81,0.14
2021,1,1,6,0,0,0,0,0,0,0,18.900000000000002,93.02,0.14
2021,1,1,7,0,42,135,419,42,0,57,20.5,79.27,0.14
2021,1,1,8,0,170,372,699,282,276,86,22,65.93,0.14
2021,1,1,9,0,233,596,828,248,24,99,23.900000000000002,53.160000000000004,0.14
2021,1,1,10,0,383,769,864,486,138,122,25.900000000000002,41.58,0.14
2021,1,1,11,0,356,887,909,383,32,121,27,32.55,0.14
2021,1,1,12,0,432,934,930,489,65,117,27.6,28.61,0.14
2021,1,1,13,0,447,898,911,660,250,123,27.8,31.73,0.14
2021,1,1,14,0,387,791,887,584,259,114,27.6,40.300000000000004,0.14
2021,1,1,15,0,102,621,836,621,836,102,27.200000000000003,51.660000000000004,0.14
2021,1,1,16,0,193,404,739,247,125,84,26.3,64.33,0.14
2021,1,1,17,0,57,167,514,167,514,57,24.900000000000002,77.63,0.14
2021,1,1,18,0,0,0,0,0,0,0,23.700000000000003,91.34,0.14
2021,1,1,19,0,0,0,0,0,0,0,23,105.13,0.14
2021,1,1,20,0,0,0,0,0,0,0,22.400000000000002,118.91,0.14
2021,1,1,21,0,0,0,0,0,0,0,21.700000000000003,132.51,0.14
2021,1,1,22,0,0,0,0,0,0,0,21,145.53,0.14
2021,1,1,23,0,0,0,0,0,0,0,20.700000000000003,156.89000000000001,0.14
2021,1,2,0,0,0,0,0,0,0,0,20.5,162.74,0.14
2021,1,2,1,0,0,0,0,0,0,0,20.5,158.09,0.14
2021,1,2,2,0,0,0,0,0,0,0,20.5,147.15,0.14
2021,1,2,3,0,0,0,0,0,0,0,20.6,134.24,0.14
2021,1,2,4,0,0,0,0,0,0,0,20.3,120.69,0.14
2021,1,2,5,0,0,0,0,0,0,0,19.700000000000003,106.92,0.14
2021,1,2,6,0,0,0,0,0,0,0,19.5,93.12,0.14
2021,1,2,7,0,38,136,442,38,0,55,20.8,79.36,0.14
2021,1,2,8,0,84,373,710,373,710,84,22.3,66.01,0.14
2021,1,2,9,0,211,599,839,220,14,96,24.3,53.22,0.14
2021,1,2,10,0,185,782,915,190,7,98,26.5,41.61,0.14
2021,1,2,11,0,356,902,953,815,545,98,27.700000000000003,32.52,0.14
2021,1,2,12,0,97,946,966,946,966,97,28.400000000000002,28.52,0.14
2021,1,2,13,0,400,911,950,739,399,102,28.700000000000003,31.6,0.14
2021,1,2,14,0,254,804,926,759,661,96,28.5,40.160000000000004,0.14
2021,1,2,15,0,68,632,877,68,0,86,27.900000000000002,51.53,0.14
2021,1,2,16,0,170,413,783,332,372,72,26.900000000000002,64.2,0.14
2021,1,2,17,0,81,173,569,127,213,50,25.3,77.5,0.14
2021,1,2,18,0,0,0,0,0,0,0,23.900000000000002,91.23,0.14
2021,1,2,19,0,0,0,0,0,0,0,23.200000000000003,105.02,0.14
2021,1,2,20,0,0,0,0,0,0,0,22.700000000000003,118.82000000000001,0.14
2021,1,2,21,0,0,0,0,0,0,0,22.3,132.43,0.14
2021,1,2,22,0,0,0,0,0,0,0,21.6,145.48,0.14
2021,1,2,23,0,0,0,0,0,0,0,21.1,156.88,0.14
2021,1,3,0,0,0,0,0,0,0,0,21.1,162.83,0.14
2021,1,3,1,0,0,0,0,0,0,0,21.400000000000002,158.24,0.14
2021,1,3,2,0,0,0,0,0,0,0,21,147.28,0.14
2021,1,3,3,0,0,0,0,0,0,0,20.3,134.37,0.14
2021,1,3,4,0,0,0,0,0,0,0,19.900000000000002,120.81,0.14
2021,1,3,5,0,0,0,0,0,0,0,19.700000000000003,107.03,0.14
2021,1,3,6,0,0,0,0,0,0,0,19.8,93.21000000000001,0.14
2021,1,3,7,0,7,139,511,7,0,46,21.1,79.44,0.14
2021,1,3,8,0,141,376,752,324,451,71,22.400000000000002,66.08,0.14
2021,1,3,9,0,230,600,863,514,475,84,24.3,53.27,0.14
2021,1,3,10,0,376,773,889,456,107,109,26.1,41.63,0.14
2021,1,3,11,0,367,889,918,789,500,115,27.400000000000002,32.49,0.14
2021,1,3,12,0,385,933,928,861,541,117,28,28.42,0.14
2021,1,3,13,0,352,897,907,840,572,123,28,31.46,0.14
