source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4471302164794903424,270.37620809153447,4.584982347345119,0.07295025306932423,-2.231148715985754,-4.724532795850865,1.2130508,15.947371,1.2556219,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4471304256445053696,270.449391874453,4.643725483875089,0.1956769747437,-4.652786190553631,-5.498858262842417,1.0221528,19.018906,1.0561924,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470992270024051072,271.7453779394341,4.150365647921973,0.5945135558067047,0.4381933598509495,-2.6036408344140822,1.0804257,19.39298,1.0989342,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471151046371016320,272.4635504740128,4.817499954430593,-0.6491275940027283,-1.3885762293135782,-7.298836391632205,0.96668625,19.306175,1.158699,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471309582204718720,270.5296017950295,4.683294255706042,0.18496324626313326,-0.9159737424645914,-7.217378502646889,0.99850523,19.15423,1.0963058,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471151046371016448,272.4646615277149,4.81675226185544,0.3457953212145537,-2.846480514552148,-6.303792767525964,1.0297288,19.309004,1.0810108,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470995572856323072,272.05775435843833,4.188035965129085,0.30412627795838,-1.6932158285679488,-7.825561708309577,0.96643484,19.30254,0.98615074,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471312335284059904,270.662559875655,4.793476163477336,,,,,20.951054,0.87828445,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470872698131448064,274.62448685137264,5.50381454753624,-0.6932316176526055,-2.9104689777374326,-4.84215912953845,1.0079927,19.837019,1.032423,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470995980875958912,272.00870064206043,4.182726459478364,0.3881973575233114,-5.075978511952562,-10.009067570406508,0.95694494,19.473738,0.94701576,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471154619784170496,272.49100638698644,4.944991826160404,0.6542103276234614,-4.795702957836133,-10.409792999223669,0.98720086,19.050198,1.1358585,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471622255826151168,272.75278553063754,5.51602224745767,0.17626060179827716,-4.586027280913647,-8.086651090856245,0.9404512,19.09703,1.166605,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470998798374715776,271.86867213773746,4.22376729445241,0.1935598206650175,-5.766314742501708,-4.9546565309110875,1.0591582,19.866112,0.89712334,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470874867099475456,274.43946590109687,5.493030392410693,,,,,20.84647,0.7434292,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471317076926866560,270.49421074623456,4.851602814335097,0.4968471414635334,-0.015443957114991011,-11.305081458248159,1.056535,19.277193,1.0178089,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471624489211094784,272.84791672606644,5.6049101949111915,0.15491430740649378,-2.525870175067067,-8.217734393209632,1.052028,19.09513,1.1047268,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470998901453881728,271.8179944035961,4.214096604466331,0.2686923107926852,-0.8884950561349156,-7.593806624817045,1.0283734,19.638525,0.98921204,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470998901453889536,271.81669260591593,4.215638097007737,0.7107078923855688,-3.5506932250986223,-4.51019519426111,1.0061938,19.871412,1.1445675,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470875412550872576,274.4848085496238,5.532431310117271,-0.0935692561445429,-6.27099167604079,-1.3051872536227997,1.0111328,19.464748,1.3291206,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471509109204449792,271.2960573914053,5.882677481171648,0.06438212237614907,-2.0563381705916313,-11.156472933709033,0.9557233,19.055191,1.1733284,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470875412550880384,274.4816677625051,5.5356203414996665,0.2277663817299872,-0.3766656494607427,-4.492414207038461,1.1797451,19.24789,2.4235477,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471318412657499264,270.1924590604863,4.686187933808549,0.364177107221644,-2.269601038979571,-6.803823220837411,0.94544995,19.908146,0.9845772,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
