Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5386373,-,b'La Guajira',b'Colombia',11.72,-71.97,-5,45,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Clearsky GHI,Clearsky DNI,Clearsky DHI,DNI,Temperature,GHI,Surface Albedo,Solar Zenith Angle
2021,1,1,0,0,0,0,0,0,0,25.1,0,0.22,168.55
2021,1,1,1,0,0,0,0,0,0,25,0,0.22,160.17000000000002
2021,1,1,2,0,0,0,0,0,0,25,0,0.22,147.42000000000002
2021,1,1,3,0,0,0,0,0,0,24.900000000000002,0,0.22,133.84
2021,1,1,4,0,0,0,0,0,0,24.900000000000002,0,0.22,120.05
2021,1,1,5,0,0,0,0,0,0,24.900000000000002,0,0.22,106.27
2021,1,1,6,0,0,0,0,0,0,25.200000000000003,0,0.22,92.63
2021,1,1,7,0,65,132,355,65,355,26.200000000000003,132,0.22,79.2
2021,1,1,8,0,103,354,625,103,625,27.3,354,0.22,66.39
2021,1,1,9,0,125,562,751,125,751,28.400000000000002,562,0.22,54.44
2021,1,1,10,0,120,733,854,120,854,29.1,733,0.22,44.12
2021,1,1,11,0,133,830,872,133,872,29.5,830,0.22,36.88
2021,1,1,12,0,138,856,873,138,873,29.700000000000003,856,0.22,34.71
2021,1,1,13,0,394,812,881,123,223,29.8,568,0.22,38.47
2021,1,1,14,0,118,693,840,118,840,29.6,693,0.22,46.75
2021,1,1,15,0,190,515,764,106,484,29.200000000000003,449,0.22,57.63
2021,1,1,16,0,86,297,613,86,613,28.6,297,0.22,69.88
2021,1,1,17,0,45,79,275,45,275,27.6,79,0.22,82.83
2021,1,1,18,0,0,0,0,0,0,26.900000000000002,0,0.22,96.4
2021,1,1,19,0,0,0,0,0,0,26.5,0,0.22,110.10000000000001
2021,1,1,20,0,0,0,0,0,0,26.3,0,0.22,123.9
2021,1,1,21,0,0,0,0,0,0,26,0,0.22,137.66
2021,1,1,22,0,0,0,0,0,0,25.8,0,0.22,151.13
2021,1,1,23,0,0,0,0,0,0,25.6,0,0.22,163.34
2021,1,2,0,0,0,0,0,0,0,25.5,0,0.22,168.66
2021,1,2,1,0,0,0,0,0,0,25.400000000000002,0,0.22,160.31
2021,1,2,2,0,0,0,0,0,0,25.200000000000003,0,0.22,147.55
2021,1,2,3,0,0,0,0,0,0,25.1,0,0.22,133.95
2021,1,2,4,0,0,0,0,0,0,25.1,0,0.22,120.16
2021,1,2,5,0,0,0,0,0,0,25.1,0,0.22,106.37
2021,1,2,6,0,0,0,0,0,0,25.200000000000003,0,0.22,92.72
2021,1,2,7,0,76,123,254,76,254,25.900000000000002,123,0.22,79.27
2021,1,2,8,0,129,340,528,129,528,27,340,0.22,66.45
2021,1,2,9,0,163,546,659,163,659,28.1,546,0.22,54.47
2021,1,2,10,0,138,725,818,138,818,28.8,725,0.22,44.13
2021,1,2,11,0,150,824,842,150,842,29.200000000000003,824,0.22,36.84
2021,1,2,12,0,154,852,848,154,848,29.5,852,0.22,34.61
2021,1,2,13,0,119,818,892,119,892,29.6,818,0.22,38.34
2021,1,2,14,0,117,698,846,117,846,29.400000000000002,698,0.22,46.61
2021,1,2,15,0,109,519,762,109,762,28.900000000000002,519,0.22,57.49
2021,1,2,16,0,89,300,610,89,610,28.200000000000003,300,0.22,69.75
2021,1,2,17,0,47,81,271,47,271,27.1,81,0.22,82.71000000000001
2021,1,2,18,0,0,0,0,0,0,26.6,0,0.22,96.28
2021,1,2,19,0,0,0,0,0,0,26.3,0,0.22,109.98
2021,1,2,20,0,0,0,0,0,0,26,0,0.22,123.79
2021,1,2,21,0,0,0,0,0,0,25.8,0,0.22,137.57
2021,1,2,22,0,0,0,0,0,0,25.6,0,0.22,151.06
2021,1,2,23,0,0,0,0,0,0,25.5,0,0.22,163.32
2021,1,3,0,0,0,0,0,0,0,25.200000000000003,0,0.22,168.77
2021,1,3,1,0,0,0,0,0,0,25,0,0.22,160.45000000000002
2021,1,3,2,0,0,0,0,0,0,24.900000000000002,0,0.22,147.67000000000002
2021,1,3,3,0,0,0,0,0,0,24.8,0,0.22,134.07
2021,1,3,4,0,0,0,0,0,0,24.700000000000003,0,0.22,120.26
2021,1,3,5,0,0,0,0,0,0,24.5,0,0.22,106.47
2021,1,3,6,0,0,0,0,0,0,24.8,0,0.22,92.81
2021,1,3,7,0,66,136,375,66,375,26,136,0.22,79.34
2021,1,3,8,0,104,368,660,104,660,27.1,368,0.22,66.5
2021,1,3,9,0,124,586,795,124,795,28,586,0.22,54.5
2021,1,3,10,0,113,767,911,113,911,28.700000000000003,767,0.22,44.12
2021,1,3,11,0,120,873,940,120,940,29.200000000000003,873,0.22,36.79
2021,1,3,12,0,122,902,946,122,946,29.6,902,0.22,34.51
2021,1,3,13,0,117,857,941,117,941,29.700000000000003,857,0.22,38.2
2021,1,3,14,0,109,735,909,109,909,29.5,735,0.22,46.47
2021,1,3,15,0,98,551,840,98,840,29,551,0.22,57.35
2021,1,3,16,0,79,324,704,79,704,28.1,324,0.22,69.61
2021,1,3,17,0,43,92,377,43,377,26.8,92,0.22,82.58
2021,1,3,18,0,0,0,0,0,0,25.900000000000002,0,0.22,96.16
2021,1,3,19,0,0,0,0,0,0,25.400000000000002,0,0.22,109.87
2021,1,3,20,0,0,0,0,0,0,25,0,0.22,123.69
2021,1,3,21,0,0,0,0,0,0,24.700000000000003,0,0.22,137.48
2021,1,3,22,0,0,0,0,0,0,24.400000000000002,0,0.22,150.99
2021,1,3,23,0,0,0,0,0,0,24.1,0,0.22,163.31
2021,1,4,0,0,0,0,0,0,0,23.900000000000002,0,0.22,168.89000000000001
2021,1,4,1,0,0,0,0,0,0,23.700000000000003,0,0.22,160.59
2021,1,4,2,0,0,0,0,0,0,23.6,0,0.22,147.8
2021,1,4,3,0,0,0,0,0,0,23.6,0,0.22,134.18
2021,1,4,4,0,0,0,0,0,0,23.400000000000002,0,0.22,120.37
2021,1,4,5,0,0,0,0,0,0,23.200000000000003,0,0.22,106.56
2021,1,4,6,0,0,0,0,0,0,23.700000000000003,0,0.22,92.89
2021,1,4,7,0,47,147,541,47,541,25.3,147,0.22,79.41
2021,1,4,8,0,75,382,773,75,773,26.700000000000003,382,0.22,66.55
2021,1,4,9,0,94,596,865,94,865,27.900000000000002,596,0.22,54.53
2021,1,4,10,0,99,769,933,99,933,28.700000000000003,769,0.22,44.11
2021,1,4,11,0,103,873,961,103,961,29.200000000000003,873,0.22,36.730000000000004
2021,1,4,12,0,104,905,971,104,971,29.5,905,0.22,34.39
2021,1,4,13,0,99,859,965,99,965,29.6,859,0.22,38.06
2021,1,4,14,0,93,740,938,93,938,29.400000000000002,740,0.22,46.32
2021,1,4,15,0,82,557,877,82,877,29,557,0.22,57.2
2021,1,4,16,0,66,330,752,66,752,28.3,330,0.22,69.47
2021,1,4,17,0,38,96,447,38,447,26.900000000000002,96,0.22,82.45
2021,1,4,18,0,0,0,0,0,0,26,0,0.22,96.04
2021,1,4,19,0,0,0,0,0,0,25.6,0,0.22,109.76
2021,1,4,20,0,0,0,0,0,0,25.200000000000003,0,0.22,123.59
2021,1,4,21,0,0,0,0,0,0,24.900000000000002,0,0.22,137.39000000000001
2021,1,4,22,0,0,0,0,0,0,24.700000000000003,0,0.22,150.93
2021,1,4,23,0,0,0,0,0,0,24.400000000000002,0,0.22,163.29
2021,1,5,0,0,0,0,0,0,0,24.200000000000003,0,0.22,169.02
2021,1,5,1,0,0,0,0,0,0,24.200000000000003,0,0.22,160.74
2021,1,5,2,0,0,0,0,0,0,24.200000000000003,0,0.22,147.93
2021,1,5,3,0,0,0,0,0,0,24.200000000000003,0,0.22,134.3
2021,1,5,4,0,0,0,0,0,0,24.1,0,0.22,120.47
2021,1,5,5,0,0,0,0,0,0,24,0,0.22,106.65
2021,1,5,6,0,0,0,0,0,0,24.3,0,0.22,92.97
2021,1,5,7,0,51,140,487,51,487,25.1,140,0.22,79.48
2021,1,5,8,0,79,372,740,79,740,26.1,372,0.22,66.6
2021,1,5,9,0,93,588,854,93,854,27.3,588,0.22,54.550000000000004
2021,1,5,10,0,99,758,917,99,917,28.200000000000003,758,0.22,44.1
2021,1,5,11,0,107,862,941,107,941,28.8,862,0.22,36.660000000000004
2021,1,5,12,0,111,891,945,111,945,29.200000000000003,891,0.22,34.28
2021,1,5,13,0,108,847,936,108,936,29.400000000000002,847,0.22,37.910000000000004
2021,1,5,14,0,102,727,903,102,903,29.400000000000002,727,0.22,46.17
2021,1,5,15,0,91,547,839,91,839,29.1,547,0.22,57.06
2021,1,5,16,0,73,324,713,73,713,28.400000000000002,324,0.22,69.34
2021,1,5,17,0,40,95,411,40,411,26.900000000000002,95,0.22,82.32000000000001
2021,1,5,18,0,0,0,0,0,0,26,0,0.22,95.92
2021,1,5,19,0,0,0,0,0,0,25.6,0,0.22,109.65
2021,1,5,20,0,0,0,0,0,0,25.200000000000003,0,0.22,123.49000000000001
2021,1,5,21,0,0,0,0,0,0,24.8,0,0.22,137.3
2021,1,5,22,0,0,0,0,0,0,24.5,0,0.22,150.86
2021,1,5,23,0,0,0,0,0,0,24.200000000000003,0,0.22,163.29
2021,1,6,0,0,0,0,0,0,0,24,0,0.22,169.15
2021,1,6,1,0,0,0,0,0,0,23.8,0,0.22,160.89000000000001
2021,1,6,2,0,0,0,0,0,0,23.700000000000003,0,0.22,148.06
2021,1,6,3,0,0,0,0,0,0,23.8,0,0.22,134.41
2021,1,6,4,0,0,0,0,0,0,23.900000000000002,0,0.22,120.57000000000001
2021,1,6,5,0,0,0,0,0,0,23.900000000000002,0,0.22,106.74000000000001
2021,1,6,6,0,0,0,0,0,0,24.400000000000002,0,0.22,93.04
2021,1,6,7,0,56,133,429,56,429,25.900000000000002,133,0.22,79.54
2021,1,6,8,0,87,362,695,87,695,27.200000000000003,362,0.22,66.64
2021,1,6,9,0,167,575,814,103,612,28.400000000000002,522,0.22,54.57
2021,1,6,10,0,254,746,893,105,547,29.3,647,0.22,44.08
2021,1,6,11,0,113,849,916,113,916,30,849,0.22,36.59
2021,1,6,12,0,117,878,919,117,919,30.400000000000002,878,0.22,34.15
2021,1,6,13,0,116,832,906,116,906,30.6,832,0.22,37.76
2021,1,6,14,0,111,714,869,111,869,30.5,714,0.22,46.01
2021,1,6,15,0,99,535,799,99,799,30,535,0.22,56.910000000000004
2021,1,6,16,0,79,317,669,79,669,29.200000000000003,317,0.22,69.19
2021,1,6,17,0,43,93,366,43,366,27.8,93,0.22,82.2
2021,1,6,18,0,0,0,0,0,0,26.900000000000002,0,0.22,95.8
2021,1,6,19,0,0,0,0,0,0,26.400000000000002,0,0.22,109.54
2021,1,6,20,0,0,0,0,0,0,25.900000000000002,0,0.22,123.39
2021,1,6,21,0,0,0,0,0,0,25.700000000000003,0,0.22,137.22
2021,1,6,22,0,0,0,0,0,0,25.5,0,0.22,150.8
2021,1,6,23,0,0,0,0,0,0,25.3,0,0.22,163.28
2021,1,7,0,0,0,0,0,0,0,25.200000000000003,0,0.22,169.29
2021,1,7,1,0,0,0,0,0,0,25,0,0.22,161.04
2021,1,7,2,0,0,0,0,0,0,24.900000000000002,0,0.22,148.19
2021,1,7,3,0,0,0,0,0,0,24.8,0,0.22,134.52
2021,1,7,4,0,0,0,0,0,0,24.700000000000003,0,0.22,120.67
2021,1,7,5,0,0,0,0,0,0,24.6,0,0.22,106.82000000000001
2021,1,7,6,0,0,0,0,0,0,25,0,0.22,93.11
2021,1,7,7,0,67,126,360,61,39,26.1,74,0.22,79.59
2021,1,7,8,0,117,348,627,100,528,27.5,326,0.22,66.68
2021,1,7,9,0,173,557,750,123,594,28.700000000000003,517,0.22,54.58
2021,1,7,10,0,209,725,826,131,671,29.5,691,0.22,44.050000000000004
2021,1,7,11,0,142,825,850,142,850,29.900000000000002,825,0.22,36.51
2021,1,7,12,0,147,855,854,147,854,30.200000000000003,855,0.22,34.02
2021,1,7,13,0,141,812,847,141,847,30.200000000000003,812,0.22,37.6
2021,1,7,14,0,135,694,803,135,803,30,694,0.22,45.85
2021,1,7,15,0,123,519,721,123,721,29.5,519,0.22,56.75
2021,1,7,16,0,101,302,564,101,564,28.700000000000003,302,0.22,69.05
2021,1,7,17,0,53,86,238,53,238,27.8,86,0.22,82.07000000000001
2021,1,7,18,0,0,0,0,0,0,27.1,0,0.22,95.68
2021,1,7,19,0,0,0,0,0,0,26.700000000000003,0,0.22,109.43
2021,1,7,20,0,0,0,0,0,0,26.400000000000002,0,0.22,123.29
2021,1,7,21,0,0,0,0,0,0,26.200000000000003,0,0.22,137.14000000000001
